2022-04-28 08:16:48,538 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='TrainME_option', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.02, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='thinner', test_best=True, train_clas_layer=2.0)
2022-04-28 08:16:51,977 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-04-28 08:16:51,977 DEBUG  * Prec@1 91.890
2022-04-28 08:16:52,066 DEBUG 4
2022-04-28 08:16:52,066 DEBUG surrogate parameter has 4 trainable parameters!
2022-04-28 08:16:54,898 DEBUG epoch: 0, val_acc: 11.34, val_fidelity: 12.01
2022-04-28 08:16:56,422 DEBUG epoch: 1, train_acc: 38.95733165740967, val_acc: 83.66, fidel_score: 88.36, acc_loss: 2.0354533791542053, grad_loss: None
2022-04-28 08:16:57,942 DEBUG epoch: 2, train_acc: 93.98287200927734, val_acc: 91.46, fidel_score: 97.29, acc_loss: 1.2122584655880928, grad_loss: None
2022-04-28 08:16:59,478 DEBUG epoch: 3, train_acc: 97.49098491668701, val_acc: 91.69, fidel_score: 98.36, acc_loss: 0.6076565124094486, grad_loss: None
2022-04-28 08:17:00,996 DEBUG epoch: 4, train_acc: 96.88251209259033, val_acc: 91.74, fidel_score: 98.87, acc_loss: 0.33800405263900757, grad_loss: None
2022-04-28 08:17:02,500 DEBUG epoch: 5, train_acc: 96.98016834259033, val_acc: 91.83, fidel_score: 99.03, acc_loss: 0.24662996642291546, grad_loss: None
2022-04-28 08:17:04,047 DEBUG epoch: 6, train_acc: 96.29657459259033, val_acc: 91.9, fidel_score: 98.99, acc_loss: 0.19927035365253687, grad_loss: None
2022-04-28 08:17:05,551 DEBUG epoch: 7, train_acc: 98.4375, val_acc: 91.93, fidel_score: 98.93, acc_loss: 0.1259007677435875, grad_loss: None
2022-04-28 08:17:07,081 DEBUG epoch: 8, train_acc: 97.94921875, val_acc: 91.92, fidel_score: 98.91, acc_loss: 0.12622944731265306, grad_loss: None
2022-04-28 08:17:08,585 DEBUG epoch: 9, train_acc: 98.19711494445801, val_acc: 91.95, fidel_score: 98.89, acc_loss: 0.11543498560786247, grad_loss: None
2022-04-28 08:17:10,080 DEBUG epoch: 10, train_acc: 95.77073287963867, val_acc: 91.94, fidel_score: 98.67, acc_loss: 0.1973284361883998, grad_loss: None
2022-04-28 08:17:11,569 DEBUG epoch: 11, train_acc: 96.34164619445801, val_acc: 91.95, fidel_score: 98.54, acc_loss: 0.1614150987006724, grad_loss: None
