2022-04-27 12:56:19,835 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='thinner', test_best=True, train_clas_layer=3.0)
2022-04-27 12:56:23,753 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-04-27 12:56:23,754 DEBUG  * Prec@1 91.890
2022-04-27 12:56:23,855 DEBUG 6
2022-04-27 12:56:23,855 DEBUG surrogate parameter has 6 trainable parameters!
2022-04-27 12:56:31,219 DEBUG epoch: 0, val_acc: 8.44, val_fidelity: 8.27
2022-04-27 12:56:35,230 DEBUG epoch: 1, train_acc: 0.0, val_acc: 16.37, fidel_score: 16.41, acc_loss: 0.0, grad_loss: 1.0723779955996742
2022-04-27 12:56:39,269 DEBUG epoch: 2, train_acc: 0.0, val_acc: 26.76, fidel_score: 27.14, acc_loss: 0.0, grad_loss: 1.0576318366618096
2022-04-27 12:56:43,336 DEBUG epoch: 3, train_acc: 0.0, val_acc: 36.22, fidel_score: 36.85, acc_loss: 0.0, grad_loss: 1.0474117315268214
2022-04-27 12:56:47,622 DEBUG epoch: 4, train_acc: 0.0, val_acc: 45.03, fidel_score: 45.96, acc_loss: 0.0, grad_loss: 1.0384635465054572
2022-04-27 12:56:51,778 DEBUG epoch: 5, train_acc: 0.0, val_acc: 51.82, fidel_score: 53.12, acc_loss: 0.0, grad_loss: 1.0316893579084663
2022-04-27 12:56:55,900 DEBUG epoch: 6, train_acc: 0.0, val_acc: 57.57, fidel_score: 59.11, acc_loss: 0.0, grad_loss: 1.0251515930211996
2022-04-27 12:57:00,039 DEBUG epoch: 7, train_acc: 0.0, val_acc: 61.86, fidel_score: 63.78, acc_loss: 0.0, grad_loss: 1.0203182176698613
2022-04-27 12:57:04,067 DEBUG epoch: 8, train_acc: 0.0, val_acc: 64.81, fidel_score: 66.66, acc_loss: 0.0, grad_loss: 1.0158128761037994
2022-04-27 12:57:08,113 DEBUG epoch: 9, train_acc: 0.0, val_acc: 67.33, fidel_score: 69.22, acc_loss: 0.0, grad_loss: 1.0116490087931669
2022-04-27 12:57:12,253 DEBUG epoch: 10, train_acc: 0.0, val_acc: 66.87, fidel_score: 69.06, acc_loss: 0.0, grad_loss: 1.0084952259365516
2022-04-27 12:57:16,400 DEBUG epoch: 11, train_acc: 0.0, val_acc: 65.45, fidel_score: 67.4, acc_loss: 0.0, grad_loss: 1.002666568454308
2022-04-27 12:57:20,671 DEBUG epoch: 12, train_acc: 0.0, val_acc: 63.7, fidel_score: 65.17, acc_loss: 0.0, grad_loss: 0.9998576331742203
2022-04-27 12:57:24,877 DEBUG epoch: 13, train_acc: 0.0, val_acc: 62.62, fidel_score: 64.35, acc_loss: 0.0, grad_loss: 0.9950760618040834
2022-04-27 12:57:28,868 DEBUG epoch: 14, train_acc: 0.0, val_acc: 59.55, fidel_score: 61.1, acc_loss: 0.0, grad_loss: 0.9923675460151479
2022-04-27 12:57:32,893 DEBUG epoch: 15, train_acc: 0.0, val_acc: 58.58, fidel_score: 59.9, acc_loss: 0.0, grad_loss: 0.9847988742816297
2022-04-27 12:57:36,865 DEBUG epoch: 16, train_acc: 0.0, val_acc: 58.3, fidel_score: 59.6, acc_loss: 0.0, grad_loss: 0.9803661341908612
2022-04-27 12:57:40,948 DEBUG epoch: 17, train_acc: 0.0, val_acc: 57.91, fidel_score: 59.31, acc_loss: 0.0, grad_loss: 0.9738541056838217
2022-04-27 12:57:45,169 DEBUG epoch: 18, train_acc: 0.0, val_acc: 55.9, fidel_score: 57.31, acc_loss: 0.0, grad_loss: 0.9678776581076127
2022-04-27 12:57:49,340 DEBUG epoch: 19, train_acc: 0.0, val_acc: 56.64, fidel_score: 58.17, acc_loss: 0.0, grad_loss: 0.9614657472960556
2022-04-27 12:57:53,489 DEBUG epoch: 20, train_acc: 0.0, val_acc: 58.97, fidel_score: 60.48, acc_loss: 0.0, grad_loss: 0.9538868431803547
2022-04-27 12:57:57,607 DEBUG epoch: 21, train_acc: 0.0, val_acc: 63.96, fidel_score: 65.89, acc_loss: 0.0, grad_loss: 0.9413616423365436
2022-04-27 12:58:01,664 DEBUG epoch: 22, train_acc: 0.0, val_acc: 69.51, fidel_score: 71.86, acc_loss: 0.0, grad_loss: 0.938575163672242
2022-04-27 12:58:05,701 DEBUG epoch: 23, train_acc: 0.0, val_acc: 75.34, fidel_score: 78.88, acc_loss: 0.0, grad_loss: 0.919114385979085
2022-04-27 12:58:09,757 DEBUG epoch: 24, train_acc: 0.0, val_acc: 77.84, fidel_score: 81.8, acc_loss: 0.0, grad_loss: 0.9116974555993382
2022-04-27 12:58:13,846 DEBUG epoch: 25, train_acc: 0.0, val_acc: 81.03, fidel_score: 85.25, acc_loss: 0.0, grad_loss: 0.9029841551297828
2022-04-27 12:58:18,062 DEBUG epoch: 26, train_acc: 0.0, val_acc: 84.05, fidel_score: 88.4, acc_loss: 0.0, grad_loss: 0.8838665319394462
2022-04-27 12:58:22,331 DEBUG epoch: 27, train_acc: 0.0, val_acc: 84.04, fidel_score: 88.54, acc_loss: 0.0, grad_loss: 0.8788546595392348
2022-04-27 12:58:26,399 DEBUG epoch: 28, train_acc: 0.0, val_acc: 85.62, fidel_score: 90.69, acc_loss: 0.0, grad_loss: 0.8588104934632024
2022-04-27 12:58:30,375 DEBUG epoch: 29, train_acc: 0.0, val_acc: 86.48, fidel_score: 91.62, acc_loss: 0.0, grad_loss: 0.8385992721666263
2022-04-27 12:58:34,411 DEBUG epoch: 30, train_acc: 0.0, val_acc: 87.29, fidel_score: 92.61, acc_loss: 0.0, grad_loss: 0.8238647912122026
2022-04-27 12:58:38,512 DEBUG epoch: 31, train_acc: 0.0, val_acc: 87.84, fidel_score: 93.15, acc_loss: 0.0, grad_loss: 0.8027294957185094
2022-04-27 12:58:42,696 DEBUG epoch: 32, train_acc: 0.0, val_acc: 88.49, fidel_score: 94.07, acc_loss: 0.0, grad_loss: 0.7894045778467685
2022-04-27 12:58:46,966 DEBUG epoch: 33, train_acc: 0.0, val_acc: 89.39, fidel_score: 95.23, acc_loss: 0.0, grad_loss: 0.7836502564104297
2022-04-27 12:58:51,104 DEBUG epoch: 34, train_acc: 0.0, val_acc: 90.19, fidel_score: 95.75, acc_loss: 0.0, grad_loss: 0.7612422093560424
