2022-04-27 08:51:51,669 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='longer', test_best=True, train_clas_layer=4.0)
2022-04-27 08:51:55,876 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-04-27 08:51:55,876 DEBUG  * Prec@1 91.890
2022-04-27 08:51:55,974 DEBUG 12
2022-04-27 08:51:55,974 DEBUG surrogate parameter has 12 trainable parameters!
2022-04-27 08:52:04,415 DEBUG epoch: 0, val_acc: 9.71, val_fidelity: 10.1
2022-04-27 08:52:08,766 DEBUG epoch: 1, train_acc: 0.0, val_acc: 22.05, fidel_score: 22.58, acc_loss: 0.0, grad_loss: 22.162872845613503
2022-04-27 08:52:13,149 DEBUG epoch: 2, train_acc: 0.0, val_acc: 35.98, fidel_score: 36.81, acc_loss: 0.0, grad_loss: 19.8157840921909
2022-04-27 08:52:17,527 DEBUG epoch: 3, train_acc: 0.0, val_acc: 37.05, fidel_score: 38.46, acc_loss: 0.0, grad_loss: 19.843247570569
2022-04-27 08:52:21,891 DEBUG epoch: 4, train_acc: 0.0, val_acc: 36.04, fidel_score: 36.93, acc_loss: 0.0, grad_loss: 19.47637413121477
2022-04-27 08:52:26,241 DEBUG epoch: 5, train_acc: 0.0, val_acc: 40.75, fidel_score: 42.32, acc_loss: 0.0, grad_loss: 19.75554739070844
2022-04-27 08:52:30,592 DEBUG epoch: 6, train_acc: 0.0, val_acc: 42.52, fidel_score: 43.64, acc_loss: 0.0, grad_loss: 19.390408697007576
2022-04-27 08:52:34,909 DEBUG epoch: 7, train_acc: 0.0, val_acc: 42.72, fidel_score: 44.14, acc_loss: 0.0, grad_loss: 19.231919590430923
2022-04-27 08:52:39,291 DEBUG epoch: 8, train_acc: 0.0, val_acc: 37.02, fidel_score: 37.92, acc_loss: 0.0, grad_loss: 19.287555115132392
2022-04-27 08:52:43,638 DEBUG epoch: 9, train_acc: 0.0, val_acc: 33.84, fidel_score: 34.46, acc_loss: 0.0, grad_loss: 19.324637207803846
2022-04-27 08:52:48,024 DEBUG epoch: 10, train_acc: 0.0, val_acc: 19.46, fidel_score: 19.66, acc_loss: 0.0, grad_loss: 19.584104127521755
2022-04-27 08:52:52,362 DEBUG epoch: 11, train_acc: 0.0, val_acc: 22.5, fidel_score: 22.84, acc_loss: 0.0, grad_loss: 19.32033623321147
