2022-04-27 16:54:58,482 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='wider', test_best=True, train_clas_layer=4.0)
2022-04-27 16:55:02,032 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-04-27 16:55:02,033 DEBUG  * Prec@1 91.890
2022-04-27 16:55:02,187 DEBUG 10
2022-04-27 16:55:02,187 DEBUG surrogate parameter has 10 trainable parameters!
2022-04-27 16:55:09,196 DEBUG epoch: 0, val_acc: 10.38, val_fidelity: 10.17
2022-04-27 16:55:12,593 DEBUG epoch: 1, train_acc: 0.0, val_acc: 45.73, fidel_score: 46.76, acc_loss: 0.0, grad_loss: 23.45199481143227
2022-04-27 16:55:16,013 DEBUG epoch: 2, train_acc: 0.0, val_acc: 44.07, fidel_score: 45.63, acc_loss: 0.0, grad_loss: 19.30110335048241
2022-04-27 16:55:19,432 DEBUG epoch: 3, train_acc: 0.0, val_acc: 27.49, fidel_score: 27.74, acc_loss: 0.0, grad_loss: 19.15984799590292
2022-04-27 16:55:22,814 DEBUG epoch: 4, train_acc: 0.0, val_acc: 53.87, fidel_score: 55.32, acc_loss: 0.0, grad_loss: 19.020935819118836
2022-04-27 16:55:26,242 DEBUG epoch: 5, train_acc: 0.0, val_acc: 51.73, fidel_score: 54.03, acc_loss: 0.0, grad_loss: 18.772662295570857
2022-04-27 16:55:29,604 DEBUG epoch: 6, train_acc: 0.0, val_acc: 49.8, fidel_score: 50.9, acc_loss: 0.0, grad_loss: 19.005395828923092
2022-04-27 16:55:33,061 DEBUG epoch: 7, train_acc: 0.0, val_acc: 39.19, fidel_score: 40.07, acc_loss: 0.0, grad_loss: 18.916964084287233
2022-04-27 16:55:36,461 DEBUG epoch: 8, train_acc: 0.0, val_acc: 33.69, fidel_score: 34.21, acc_loss: 0.0, grad_loss: 18.888676269144952
2022-04-27 16:55:39,911 DEBUG epoch: 9, train_acc: 0.0, val_acc: 34.99, fidel_score: 36.22, acc_loss: 0.0, grad_loss: 19.904215317738206
2022-04-27 16:55:43,281 DEBUG epoch: 10, train_acc: 0.0, val_acc: 30.87, fidel_score: 31.59, acc_loss: 0.0, grad_loss: 19.965170292914667
2022-04-27 16:55:46,698 DEBUG epoch: 11, train_acc: 0.0, val_acc: 20.53, fidel_score: 20.83, acc_loss: 0.0, grad_loss: 19.526840209960938
2022-04-27 16:55:50,120 DEBUG epoch: 12, train_acc: 0.0, val_acc: 23.04, fidel_score: 23.4, acc_loss: 0.0, grad_loss: 19.747201991986625
2022-04-27 16:55:53,512 DEBUG epoch: 13, train_acc: 0.0, val_acc: 46.69, fidel_score: 48.55, acc_loss: 0.0, grad_loss: 19.390003566500507
2022-04-27 16:55:56,908 DEBUG epoch: 14, train_acc: 0.0, val_acc: 25.08, fidel_score: 25.39, acc_loss: 0.0, grad_loss: 18.949348787718183
2022-04-27 16:56:00,314 DEBUG epoch: 15, train_acc: 0.0, val_acc: 25.8, fidel_score: 26.61, acc_loss: 0.0, grad_loss: 19.669518410405026
2022-04-27 16:56:03,721 DEBUG epoch: 16, train_acc: 0.0, val_acc: 26.13, fidel_score: 26.5, acc_loss: 0.0, grad_loss: 19.20832885066165
2022-04-27 16:56:07,108 DEBUG epoch: 17, train_acc: 0.0, val_acc: 12.32, fidel_score: 12.4, acc_loss: 0.0, grad_loss: 19.132794802701927
2022-04-27 16:56:10,478 DEBUG epoch: 18, train_acc: 0.0, val_acc: 17.52, fidel_score: 17.66, acc_loss: 0.0, grad_loss: 19.939265794391872
2022-04-27 16:56:13,877 DEBUG epoch: 19, train_acc: 0.0, val_acc: 13.29, fidel_score: 13.58, acc_loss: 0.0, grad_loss: 19.468366743643074
2022-04-27 16:56:17,309 DEBUG epoch: 20, train_acc: 0.0, val_acc: 16.58, fidel_score: 16.79, acc_loss: 0.0, grad_loss: 19.501183715047716
2022-04-27 16:56:20,687 DEBUG epoch: 21, train_acc: 0.0, val_acc: 13.05, fidel_score: 12.77, acc_loss: 0.0, grad_loss: 20.033344799959206
2022-04-27 16:56:24,084 DEBUG epoch: 22, train_acc: 0.0, val_acc: 13.17, fidel_score: 13.2, acc_loss: 0.0, grad_loss: 19.776634771612628
2022-04-27 16:56:27,461 DEBUG epoch: 23, train_acc: 0.0, val_acc: 16.34, fidel_score: 16.39, acc_loss: 0.0, grad_loss: 19.796204892894888
2022-04-27 16:56:30,851 DEBUG epoch: 24, train_acc: 0.0, val_acc: 13.78, fidel_score: 13.97, acc_loss: 0.0, grad_loss: 19.65366293508795
2022-04-27 16:56:34,254 DEBUG epoch: 25, train_acc: 0.0, val_acc: 12.61, fidel_score: 12.76, acc_loss: 0.0, grad_loss: 19.29305412195906
2022-04-27 16:56:37,654 DEBUG epoch: 26, train_acc: 0.0, val_acc: 12.65, fidel_score: 12.53, acc_loss: 0.0, grad_loss: 19.17508740968342
2022-04-27 16:56:41,079 DEBUG epoch: 27, train_acc: 0.0, val_acc: 13.35, fidel_score: 13.03, acc_loss: 0.0, grad_loss: 19.39551355868955
2022-04-27 16:56:44,468 DEBUG epoch: 28, train_acc: 0.0, val_acc: 15.8, fidel_score: 15.59, acc_loss: 0.0, grad_loss: 19.48417342463626
2022-04-27 16:56:47,843 DEBUG epoch: 29, train_acc: 0.0, val_acc: 13.23, fidel_score: 13.16, acc_loss: 0.0, grad_loss: 19.674646256845207
2022-04-27 16:56:51,294 DEBUG epoch: 30, train_acc: 0.0, val_acc: 10.62, fidel_score: 10.36, acc_loss: 0.0, grad_loss: 19.84513857394834
2022-04-27 16:56:54,638 DEBUG epoch: 31, train_acc: 0.0, val_acc: 11.69, fidel_score: 11.51, acc_loss: 0.0, grad_loss: 19.634279589109784
2022-04-27 16:56:58,021 DEBUG epoch: 32, train_acc: 0.0, val_acc: 12.45, fidel_score: 12.5, acc_loss: 0.0, grad_loss: 19.443260796462432
2022-04-27 16:57:01,404 DEBUG epoch: 33, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.06, acc_loss: 0.0, grad_loss: 19.670912151095234
2022-04-27 16:57:04,869 DEBUG epoch: 34, train_acc: 0.0, val_acc: 9.99, fidel_score: 10.05, acc_loss: 0.0, grad_loss: 19.90523816362212
2022-04-27 16:57:08,308 DEBUG epoch: 35, train_acc: 0.0, val_acc: 10.83, fidel_score: 10.58, acc_loss: 0.0, grad_loss: 19.7117474712903
2022-04-27 16:57:11,725 DEBUG epoch: 36, train_acc: 0.0, val_acc: 12.0, fidel_score: 11.84, acc_loss: 0.0, grad_loss: 19.673782034765317
2022-04-27 16:57:15,107 DEBUG epoch: 37, train_acc: 0.0, val_acc: 10.11, fidel_score: 9.84, acc_loss: 0.0, grad_loss: 19.60450042048587
2022-04-27 16:57:18,473 DEBUG epoch: 38, train_acc: 0.0, val_acc: 10.39, fidel_score: 10.12, acc_loss: 0.0, grad_loss: 19.541368725933605
2022-04-27 16:57:21,870 DEBUG epoch: 39, train_acc: 0.0, val_acc: 10.02, fidel_score: 9.75, acc_loss: 0.0, grad_loss: 19.596746034260036
2022-04-27 16:57:25,241 DEBUG epoch: 40, train_acc: 0.0, val_acc: 10.19, fidel_score: 9.95, acc_loss: 0.0, grad_loss: 19.68377685546875
2022-04-27 16:57:28,610 DEBUG epoch: 41, train_acc: 0.0, val_acc: 11.21, fidel_score: 10.97, acc_loss: 0.0, grad_loss: 19.672222330600402
2022-04-27 16:57:32,022 DEBUG epoch: 42, train_acc: 0.0, val_acc: 13.51, fidel_score: 13.33, acc_loss: 0.0, grad_loss: 19.475147609469257
2022-04-27 16:57:35,431 DEBUG epoch: 43, train_acc: 0.0, val_acc: 10.38, fidel_score: 10.14, acc_loss: 0.0, grad_loss: 19.7435677202442
2022-04-27 16:57:38,793 DEBUG epoch: 44, train_acc: 0.0, val_acc: 12.12, fidel_score: 11.97, acc_loss: 0.0, grad_loss: 19.68742235401009
2022-04-27 16:57:42,191 DEBUG epoch: 45, train_acc: 0.0, val_acc: 17.59, fidel_score: 17.85, acc_loss: 0.0, grad_loss: 19.555927180036715
2022-04-27 16:57:45,625 DEBUG epoch: 46, train_acc: 0.0, val_acc: 10.19, fidel_score: 9.92, acc_loss: 0.0, grad_loss: 19.55694753912431
2022-04-27 16:57:48,967 DEBUG epoch: 47, train_acc: 0.0, val_acc: 10.38, fidel_score: 10.09, acc_loss: 0.0, grad_loss: 19.729945025866545
2022-04-27 16:57:52,388 DEBUG epoch: 48, train_acc: 0.0, val_acc: 14.11, fidel_score: 14.42, acc_loss: 0.0, grad_loss: 19.63869473903994
2022-04-27 16:57:55,761 DEBUG epoch: 49, train_acc: 0.0, val_acc: 10.03, fidel_score: 10.09, acc_loss: 0.0, grad_loss: 19.432531912115557
2022-04-27 16:57:59,119 DEBUG epoch: 50, train_acc: 0.0, val_acc: 10.32, fidel_score: 10.36, acc_loss: 0.0, grad_loss: 19.677875953384593
2022-04-27 16:58:02,552 DEBUG epoch: 51, train_acc: 0.0, val_acc: 10.31, fidel_score: 10.16, acc_loss: 0.0, grad_loss: 19.700502130049692
2022-04-27 16:58:05,959 DEBUG epoch: 52, train_acc: 0.0, val_acc: 10.11, fidel_score: 9.84, acc_loss: 0.0, grad_loss: 19.612103546722025
