2022-04-27 04:48:29,270 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='shorter', test_best=True, train_clas_layer=5.0)
2022-04-27 04:48:33,062 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-04-27 04:48:33,062 DEBUG  * Prec@1 91.890
2022-04-27 04:48:33,160 DEBUG 12
2022-04-27 04:48:33,160 DEBUG surrogate parameter has 12 trainable parameters!
2022-04-27 04:48:41,677 DEBUG epoch: 0, val_acc: 8.03, val_fidelity: 8.06
2022-04-27 04:48:46,552 DEBUG epoch: 1, train_acc: 0.0, val_acc: 32.43, fidel_score: 33.48, acc_loss: 0.0, grad_loss: 19.972368143781832
2022-04-27 04:48:51,277 DEBUG epoch: 2, train_acc: 0.0, val_acc: 30.21, fidel_score: 30.32, acc_loss: 0.0, grad_loss: 19.125651202624358
2022-04-27 04:48:55,969 DEBUG epoch: 3, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 19.6414349712903
2022-04-27 04:49:00,677 DEBUG epoch: 4, train_acc: 0.0, val_acc: 10.15, fidel_score: 9.92, acc_loss: 0.0, grad_loss: 19.929368562336208
2022-04-27 04:49:05,430 DEBUG epoch: 5, train_acc: 0.0, val_acc: 19.46, fidel_score: 19.61, acc_loss: 0.0, grad_loss: 18.61375892011425
2022-04-27 04:49:10,145 DEBUG epoch: 6, train_acc: 0.0, val_acc: 16.42, fidel_score: 16.21, acc_loss: 0.0, grad_loss: 17.96939960914322
2022-04-27 04:49:14,797 DEBUG epoch: 7, train_acc: 0.0, val_acc: 10.22, fidel_score: 9.98, acc_loss: 0.0, grad_loss: 16.92090234877188
2022-04-27 04:49:19,510 DEBUG epoch: 8, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 17.771642310709893
2022-04-27 04:49:24,208 DEBUG epoch: 9, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 17.32503552980061
2022-04-27 04:49:28,818 DEBUG epoch: 10, train_acc: 0.0, val_acc: 10.23, fidel_score: 10.0, acc_loss: 0.0, grad_loss: 17.654156660731836
2022-04-27 04:49:33,580 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 17.156999769090095
2022-04-27 04:49:38,082 DEBUG epoch: 12, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 17.17445972297765
2022-04-27 04:49:42,732 DEBUG epoch: 13, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 17.23372626002831
2022-04-27 04:49:47,519 DEBUG epoch: 14, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 17.16556784472888
2022-04-27 04:49:52,010 DEBUG epoch: 15, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 16.818794129770012
2022-04-27 04:49:56,650 DEBUG epoch: 16, train_acc: 0.0, val_acc: 10.0, fidel_score: 9.76, acc_loss: 0.0, grad_loss: 16.157100279119952
2022-04-27 04:50:01,431 DEBUG epoch: 17, train_acc: 0.0, val_acc: 10.02, fidel_score: 9.78, acc_loss: 0.0, grad_loss: 15.23703448380096
2022-04-27 04:50:05,869 DEBUG epoch: 18, train_acc: 0.0, val_acc: 10.01, fidel_score: 9.77, acc_loss: 0.0, grad_loss: 14.539324748365186
2022-04-27 04:50:10,633 DEBUG epoch: 19, train_acc: 0.0, val_acc: 10.13, fidel_score: 9.89, acc_loss: 0.0, grad_loss: 14.475155733808686
2022-04-27 04:50:15,400 DEBUG epoch: 20, train_acc: 0.0, val_acc: 10.32, fidel_score: 10.08, acc_loss: 0.0, grad_loss: 14.883814715131928
2022-04-27 04:50:19,842 DEBUG epoch: 21, train_acc: 0.0, val_acc: 10.09, fidel_score: 9.85, acc_loss: 0.0, grad_loss: 15.433851012700721
2022-04-27 04:50:24,735 DEBUG epoch: 22, train_acc: 0.0, val_acc: 10.35, fidel_score: 10.11, acc_loss: 0.0, grad_loss: 14.88471203816088
2022-04-27 04:50:29,523 DEBUG epoch: 23, train_acc: 0.0, val_acc: 10.06, fidel_score: 9.82, acc_loss: 0.0, grad_loss: 15.004888172391095
2022-04-27 04:50:34,057 DEBUG epoch: 24, train_acc: 0.0, val_acc: 10.1, fidel_score: 9.86, acc_loss: 0.0, grad_loss: 14.960738532150849
2022-04-27 04:50:38,915 DEBUG epoch: 25, train_acc: 0.0, val_acc: 10.12, fidel_score: 9.88, acc_loss: 0.0, grad_loss: 15.144370779206481
