2022-05-03 13:46:31,455 DEBUG Namespace(adversairal_attack=False, arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='Generator_option_nz512_noisew1.0', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=8.0)
2022-05-03 13:46:34,986 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-05-03 13:46:34,986 DEBUG  * Prec@1 91.890
2022-05-03 13:46:35,196 DEBUG 26
2022-05-03 13:46:35,196 DEBUG surrogate parameter has 26 trainable parameters!
2022-05-03 20:27:50,176 DEBUG Namespace(adversairal_attack=False, arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='Generator_option_nz512_noisew1.0', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=8.0)
2022-05-03 20:27:53,656 DEBUG Test (client-0):	Loss 0.6164 (0.3623)	Prec@1 81.250 (91.890)
2022-05-03 20:27:53,656 DEBUG  * Prec@1 91.890
2022-05-03 20:27:53,841 DEBUG 26
2022-05-03 20:27:53,841 DEBUG surrogate parameter has 26 trainable parameters!
2022-05-03 20:27:54,271 DEBUG Train step: 10	 CE_Loss: 1.4070090055 diversity_Loss: 0.5667406917 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:54,675 DEBUG Train step: 20	 CE_Loss: 0.0821840689 diversity_Loss: 0.5201398134 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:55,081 DEBUG Train step: 30	 CE_Loss: 0.0061428249 diversity_Loss: 0.5148002505 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:55,488 DEBUG Train step: 40	 CE_Loss: 0.0037776544 diversity_Loss: 0.5204133391 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:55,895 DEBUG Train step: 50	 CE_Loss: 0.0045090229 diversity_Loss: 0.5227711201 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:56,302 DEBUG Train step: 60	 CE_Loss: 0.0026979102 diversity_Loss: 0.5297172666 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:56,709 DEBUG Train step: 70	 CE_Loss: 0.0037411156 diversity_Loss: 0.5102673769 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:57,115 DEBUG Train step: 80	 CE_Loss: 0.0019512657 diversity_Loss: 0.5160006881 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:57,521 DEBUG Train step: 90	 CE_Loss: 0.0018628064 diversity_Loss: 0.5318014622 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:57,928 DEBUG Train step: 100	 CE_Loss: 0.0025727961 diversity_Loss: 0.5159143209 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:57,928 DEBUG End of Training: 	 CE_Loss: 0.0025727961 diversity_Loss: 0.5159143209 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-05-03 20:27:59,044 DEBUG epoch: 0, val_acc: 9.8, val_fidelity: 9.8
2022-05-03 20:28:01,121 DEBUG epoch: 1, train_acc: 56.25, val_acc: 14.56, fidel_score: 14.53, acc_loss: 1.6922830022871493, grad_loss: None
2022-05-03 20:28:03,008 DEBUG epoch: 2, train_acc: 97.578125, val_acc: 15.44, fidel_score: 15.58, acc_loss: 0.06855866652913392, grad_loss: None
2022-05-03 20:28:04,885 DEBUG epoch: 3, train_acc: 98.671875, val_acc: 15.46, fidel_score: 15.6, acc_loss: 0.042832138965604824, grad_loss: None
2022-05-03 20:28:06,736 DEBUG epoch: 4, train_acc: 98.984375, val_acc: 15.66, fidel_score: 15.52, acc_loss: 0.0350198035070207, grad_loss: None
2022-05-03 20:28:08,591 DEBUG epoch: 5, train_acc: 98.671875, val_acc: 15.34, fidel_score: 15.57, acc_loss: 0.03599501022399636, grad_loss: None
2022-05-03 20:28:10,456 DEBUG epoch: 6, train_acc: 99.1015625, val_acc: 15.08, fidel_score: 15.01, acc_loss: 0.02812467729090713, grad_loss: None
2022-05-03 20:28:12,326 DEBUG epoch: 7, train_acc: 99.7265625, val_acc: 15.15, fidel_score: 15.1, acc_loss: 0.007970263047900517, grad_loss: None
2022-05-03 20:28:14,198 DEBUG epoch: 8, train_acc: 99.921875, val_acc: 15.04, fidel_score: 14.99, acc_loss: 0.0016162311945663531, grad_loss: None
2022-05-03 20:28:16,063 DEBUG epoch: 9, train_acc: 99.9609375, val_acc: 15.77, fidel_score: 15.69, acc_loss: 0.0010715716965933098, grad_loss: None
2022-05-03 20:28:17,927 DEBUG epoch: 10, train_acc: 100.0, val_acc: 15.61, fidel_score: 15.74, acc_loss: 0.0005257580894976854, grad_loss: None
2022-05-03 20:28:19,775 DEBUG epoch: 11, train_acc: 99.9609375, val_acc: 16.0, fidel_score: 16.12, acc_loss: 0.0013017383486840118, grad_loss: None
2022-05-03 20:28:21,654 DEBUG epoch: 12, train_acc: 100.0, val_acc: 15.68, fidel_score: 15.96, acc_loss: 0.00044061556036467664, grad_loss: None
2022-05-03 20:28:23,511 DEBUG epoch: 13, train_acc: 99.9609375, val_acc: 15.91, fidel_score: 15.97, acc_loss: 0.0006388718064954446, grad_loss: None
2022-05-03 20:28:25,358 DEBUG epoch: 14, train_acc: 99.9609375, val_acc: 15.33, fidel_score: 15.36, acc_loss: 0.0012687876951531507, grad_loss: None
2022-05-03 20:28:27,221 DEBUG epoch: 15, train_acc: 99.9609375, val_acc: 15.4, fidel_score: 15.38, acc_loss: 0.0009862582847745215, grad_loss: None
2022-05-03 20:28:29,108 DEBUG epoch: 16, train_acc: 99.921875, val_acc: 15.16, fidel_score: 15.2, acc_loss: 0.0024831878499753657, grad_loss: None
2022-05-03 20:28:30,972 DEBUG epoch: 17, train_acc: 99.921875, val_acc: 15.33, fidel_score: 15.37, acc_loss: 0.0011883405453772867, grad_loss: None
2022-05-03 20:28:32,834 DEBUG epoch: 18, train_acc: 100.0, val_acc: 15.49, fidel_score: 15.4, acc_loss: 0.00045120721815692375, grad_loss: None
2022-05-03 20:28:34,704 DEBUG epoch: 19, train_acc: 99.9609375, val_acc: 16.56, fidel_score: 16.47, acc_loss: 0.002902247400197666, grad_loss: None
2022-05-03 20:28:36,560 DEBUG epoch: 20, train_acc: 100.0, val_acc: 16.87, fidel_score: 16.82, acc_loss: 0.0004079388696482056, grad_loss: None
2022-05-03 20:28:38,444 DEBUG epoch: 21, train_acc: 100.0, val_acc: 16.68, fidel_score: 16.52, acc_loss: 0.00021232300532574299, grad_loss: None
2022-05-03 20:28:40,302 DEBUG epoch: 22, train_acc: 100.0, val_acc: 17.07, fidel_score: 16.98, acc_loss: 0.00043743857959270825, grad_loss: None
2022-05-03 20:28:42,165 DEBUG epoch: 23, train_acc: 100.0, val_acc: 17.11, fidel_score: 17.3, acc_loss: 0.00025122177248704247, grad_loss: None
2022-05-03 20:28:44,030 DEBUG epoch: 24, train_acc: 100.0, val_acc: 16.59, fidel_score: 16.49, acc_loss: 0.0002481927680491935, grad_loss: None
2022-05-03 20:28:45,889 DEBUG epoch: 25, train_acc: 100.0, val_acc: 16.46, fidel_score: 16.65, acc_loss: 0.00014856825891911284, grad_loss: None
2022-05-03 20:28:47,753 DEBUG epoch: 26, train_acc: 100.0, val_acc: 16.78, fidel_score: 16.59, acc_loss: 0.00012749434117722557, grad_loss: None
