2022-04-21 00:24:29,846 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='Craft_option_step50', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=-1.0)
2022-04-21 00:24:33,334 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 00:24:33,334 DEBUG  * Prec@1 91.890
2022-04-21 00:24:33,334 DEBUG 24
2022-04-21 00:24:33,335 DEBUG 30
2022-04-21 00:24:33,335 DEBUG surrogate parameter has 38 trainable parameters!
2022-04-21 00:24:33,491 DEBUG Image 0 class 0 - Iter 50 Feature loss: 0.0003499372396618128 TVLoss: 1.3019793033599854 l2Loss: 0.6835546493530273
2022-04-21 00:24:33,632 DEBUG Image 1 class 0 - Iter 50 Feature loss: 0.00023314618738368154 TVLoss: 1.3189048767089844 l2Loss: 0.6932895183563232
2022-04-21 00:24:33,772 DEBUG Image 0 class 1 - Iter 50 Feature loss: 3.683499380713329e-05 TVLoss: 1.5586284399032593 l2Loss: 0.7649110555648804
2022-04-21 00:24:33,911 DEBUG Image 1 class 1 - Iter 50 Feature loss: 5.8412379075889476e-06 TVLoss: 1.383655309677124 l2Loss: 0.7545296549797058
2022-04-21 00:24:34,050 DEBUG Image 0 class 2 - Iter 50 Feature loss: 3.0397906812140718e-05 TVLoss: 1.3587005138397217 l2Loss: 0.6623281240463257
2022-04-21 00:24:34,188 DEBUG Image 1 class 2 - Iter 50 Feature loss: 0.00028081765049137175 TVLoss: 1.3551719188690186 l2Loss: 0.6622734069824219
2022-04-21 00:24:34,327 DEBUG Image 0 class 3 - Iter 50 Feature loss: 0.0004557524516712874 TVLoss: 1.3021070957183838 l2Loss: 0.6471225023269653
2022-04-21 00:24:34,467 DEBUG Image 1 class 3 - Iter 50 Feature loss: 0.0010453957365825772 TVLoss: 1.3744025230407715 l2Loss: 0.6579090356826782
2022-04-21 00:24:34,617 DEBUG Image 0 class 4 - Iter 50 Feature loss: 0.0007584794075228274 TVLoss: 1.319145679473877 l2Loss: 0.666406512260437
2022-04-21 00:24:34,756 DEBUG Image 1 class 4 - Iter 50 Feature loss: 0.0003334919747430831 TVLoss: 1.3609766960144043 l2Loss: 0.6716396808624268
2022-04-21 00:24:34,895 DEBUG Image 0 class 5 - Iter 50 Feature loss: 0.0005202132160775363 TVLoss: 1.2226141691207886 l2Loss: 0.6354705095291138
2022-04-21 00:24:35,034 DEBUG Image 1 class 5 - Iter 50 Feature loss: 0.0004351384413894266 TVLoss: 1.2258403301239014 l2Loss: 0.6372669339179993
2022-04-21 00:24:35,173 DEBUG Image 0 class 6 - Iter 50 Feature loss: 0.0003880701260641217 TVLoss: 1.2782926559448242 l2Loss: 0.6773278713226318
2022-04-21 00:24:35,312 DEBUG Image 1 class 6 - Iter 50 Feature loss: 1.1086402082582936e-05 TVLoss: 0.5390936136245728 l2Loss: 0.41886958479881287
2022-04-21 00:24:35,451 DEBUG Image 0 class 7 - Iter 50 Feature loss: 0.000724887300748378 TVLoss: 1.2580454349517822 l2Loss: 0.6934094429016113
2022-04-21 00:24:35,588 DEBUG Image 1 class 7 - Iter 50 Feature loss: 0.0008920027757994831 TVLoss: 1.3885403871536255 l2Loss: 0.7094435095787048
2022-04-21 00:24:35,727 DEBUG Image 0 class 8 - Iter 50 Feature loss: 0.0020960045512765646 TVLoss: 1.4425091743469238 l2Loss: 0.7276754379272461
2022-04-21 00:24:35,866 DEBUG Image 1 class 8 - Iter 50 Feature loss: 0.002601098734885454 TVLoss: 1.5014081001281738 l2Loss: 0.7339962720870972
2022-04-21 00:24:36,006 DEBUG Image 0 class 9 - Iter 50 Feature loss: 0.00014149141497910023 TVLoss: 1.3619648218154907 l2Loss: 0.7082971334457397
2022-04-21 00:24:36,145 DEBUG Image 1 class 9 - Iter 50 Feature loss: 0.0001934579631779343 TVLoss: 1.3960230350494385 l2Loss: 0.7225338816642761
2022-04-21 00:24:36,699 DEBUG epoch: 0, val_acc: 12.27
2022-04-21 00:24:37,454 DEBUG epoch: 1, train_acc: 10.0, val_acc: 12.15, acc_loss: 2.3021931648254395, grad_loss: None
2022-04-21 00:24:38,255 DEBUG epoch: 2, train_acc: 10.0, val_acc: 12.2, acc_loss: 2.3009142875671387, grad_loss: None
2022-04-21 00:24:39,054 DEBUG epoch: 3, train_acc: 10.0, val_acc: 12.0, acc_loss: 2.2996954917907715, grad_loss: None
2022-04-21 00:24:39,821 DEBUG epoch: 4, train_acc: 15.0, val_acc: 11.87, acc_loss: 2.2984936237335205, grad_loss: None
2022-04-21 00:24:40,582 DEBUG epoch: 5, train_acc: 15.0, val_acc: 12.22, acc_loss: 2.2971978187561035, grad_loss: None
2022-04-21 00:24:41,351 DEBUG epoch: 6, train_acc: 15.0, val_acc: 12.57, acc_loss: 2.295882225036621, grad_loss: None
2022-04-21 00:24:42,124 DEBUG epoch: 7, train_acc: 20.0, val_acc: 12.84, acc_loss: 2.2944910526275635, grad_loss: None
2022-04-21 00:24:42,881 DEBUG epoch: 8, train_acc: 25.0, val_acc: 12.81, acc_loss: 2.2929623126983643, grad_loss: None
2022-04-21 00:24:43,654 DEBUG epoch: 9, train_acc: 25.0, val_acc: 13.96, acc_loss: 2.291350841522217, grad_loss: None
2022-04-21 00:24:44,423 DEBUG epoch: 10, train_acc: 35.0, val_acc: 14.77, acc_loss: 2.2895150184631348, grad_loss: None
2022-04-21 00:24:45,212 DEBUG epoch: 11, train_acc: 40.0, val_acc: 14.62, acc_loss: 2.287689447402954, grad_loss: None
2022-04-21 00:24:45,988 DEBUG epoch: 12, train_acc: 40.0, val_acc: 14.37, acc_loss: 2.285541296005249, grad_loss: None
2022-04-21 00:24:46,763 DEBUG epoch: 13, train_acc: 40.0, val_acc: 13.62, acc_loss: 2.28315806388855, grad_loss: None
2022-04-21 00:24:47,523 DEBUG epoch: 14, train_acc: 25.0, val_acc: 13.03, acc_loss: 2.280745267868042, grad_loss: None
2022-04-21 00:24:48,307 DEBUG epoch: 15, train_acc: 35.0, val_acc: 13.31, acc_loss: 2.2780373096466064, grad_loss: None
2022-04-21 00:24:49,093 DEBUG epoch: 16, train_acc: 45.0, val_acc: 13.66, acc_loss: 2.2751874923706055, grad_loss: None
2022-04-21 00:24:49,859 DEBUG epoch: 17, train_acc: 45.0, val_acc: 13.93, acc_loss: 2.2719459533691406, grad_loss: None
2022-04-21 00:24:50,632 DEBUG epoch: 18, train_acc: 45.0, val_acc: 13.98, acc_loss: 2.268446922302246, grad_loss: None
2022-04-21 00:24:51,416 DEBUG epoch: 19, train_acc: 50.0, val_acc: 14.16, acc_loss: 2.2645182609558105, grad_loss: None
2022-04-21 00:24:52,242 DEBUG epoch: 20, train_acc: 60.0, val_acc: 14.16, acc_loss: 2.260237216949463, grad_loss: None
2022-04-21 00:24:53,063 DEBUG epoch: 21, train_acc: 65.0, val_acc: 14.21, acc_loss: 2.2551305294036865, grad_loss: None
2022-04-21 00:24:53,837 DEBUG epoch: 22, train_acc: 75.0, val_acc: 14.3, acc_loss: 2.2495198249816895, grad_loss: None
2022-04-21 00:24:54,608 DEBUG epoch: 23, train_acc: 75.0, val_acc: 14.02, acc_loss: 2.2434115409851074, grad_loss: None
2022-04-21 00:24:55,361 DEBUG epoch: 24, train_acc: 75.0, val_acc: 14.16, acc_loss: 2.236215114593506, grad_loss: None
2022-04-21 00:24:56,168 DEBUG epoch: 25, train_acc: 80.0, val_acc: 14.49, acc_loss: 2.228163003921509, grad_loss: None
2022-04-21 00:24:56,945 DEBUG epoch: 26, train_acc: 75.0, val_acc: 13.86, acc_loss: 2.218719005584717, grad_loss: None
2022-04-21 00:24:57,727 DEBUG epoch: 27, train_acc: 80.0, val_acc: 13.77, acc_loss: 2.208082675933838, grad_loss: None
2022-04-21 00:24:58,515 DEBUG epoch: 28, train_acc: 80.0, val_acc: 12.67, acc_loss: 2.195420265197754, grad_loss: None
2022-04-21 00:24:59,285 DEBUG epoch: 29, train_acc: 80.0, val_acc: 12.82, acc_loss: 2.1805922985076904, grad_loss: None
2022-04-21 00:25:00,052 DEBUG epoch: 30, train_acc: 90.0, val_acc: 12.59, acc_loss: 2.161823272705078, grad_loss: None
2022-04-21 00:25:00,852 DEBUG epoch: 31, train_acc: 90.0, val_acc: 11.56, acc_loss: 2.1409835815429688, grad_loss: None
2022-04-21 00:25:01,607 DEBUG epoch: 32, train_acc: 100.0, val_acc: 13.68, acc_loss: 2.1143691539764404, grad_loss: None
2022-04-21 00:25:02,386 DEBUG epoch: 33, train_acc: 55.0, val_acc: 10.3, acc_loss: 2.0882668495178223, grad_loss: None
