2022-04-21 12:44:35,916 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='Generator_option', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=-1.0)
2022-04-21 12:44:40,245 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 12:44:40,246 DEBUG  * Prec@1 91.890
2022-04-21 12:44:40,246 DEBUG 24
2022-04-21 12:44:40,246 DEBUG 30
2022-04-21 12:44:40,246 DEBUG surrogate parameter has 38 trainable parameters!
2022-04-21 12:44:40,767 DEBUG Train step: 10	 CE_Loss: 1.9294288158 diversity_Loss: 0.6202126145 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:41,219 DEBUG Train step: 20	 CE_Loss: 0.6165019274 diversity_Loss: 0.5937807560 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:41,673 DEBUG Train step: 30	 CE_Loss: 0.1360912323 diversity_Loss: 0.5794014335 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:42,131 DEBUG Train step: 40	 CE_Loss: 0.0282117017 diversity_Loss: 0.5851492286 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:42,602 DEBUG Train step: 50	 CE_Loss: 0.0096538039 diversity_Loss: 0.5973735452 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:43,068 DEBUG Train step: 60	 CE_Loss: 0.0118538747 diversity_Loss: 0.5871252418 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:43,542 DEBUG Train step: 70	 CE_Loss: 0.0072419494 diversity_Loss: 0.5734899044 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:43,998 DEBUG Train step: 80	 CE_Loss: 0.0051029990 diversity_Loss: 0.5906724334 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:44,467 DEBUG Train step: 90	 CE_Loss: 0.0202027727 diversity_Loss: 0.5732681751 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:44,925 DEBUG Train step: 100	 CE_Loss: 0.0028579319 diversity_Loss: 0.5893477201 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:44,925 DEBUG End of Training: 100	 CE_Loss: 0.0028579319 diversity_Loss: 0.5893477201 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-21 12:44:45,797 DEBUG epoch: 0, val_acc: 12.27
2022-04-21 12:44:47,484 DEBUG epoch: 1, train_acc: 19.9609375, val_acc: 9.27, acc_loss: 2.2740049242973326, grad_loss: None
2022-04-21 12:44:48,674 DEBUG epoch: 2, train_acc: 26.2109375, val_acc: 10.0, acc_loss: 2.2468789160251617, grad_loss: None
2022-04-21 12:44:49,813 DEBUG epoch: 3, train_acc: 10.234375, val_acc: 10.0, acc_loss: 2.3056749224662783, grad_loss: None
2022-04-21 12:44:51,143 DEBUG epoch: 4, train_acc: 10.2734375, val_acc: 10.0, acc_loss: 2.303302192687988, grad_loss: None
2022-04-21 12:44:52,355 DEBUG epoch: 5, train_acc: 8.7109375, val_acc: 10.0, acc_loss: 2.304998588562012, grad_loss: None
2022-04-21 12:44:53,543 DEBUG epoch: 6, train_acc: 10.234375, val_acc: 10.0, acc_loss: 2.3037725567817686, grad_loss: None
2022-04-21 12:44:55,347 DEBUG epoch: 7, train_acc: 9.53125, val_acc: 10.0, acc_loss: 2.3034640073776247, grad_loss: None
2022-04-21 12:44:57,159 DEBUG epoch: 8, train_acc: 10.5078125, val_acc: 10.0, acc_loss: 2.303032660484314, grad_loss: None
2022-04-21 12:44:58,982 DEBUG epoch: 9, train_acc: 9.4921875, val_acc: 10.0, acc_loss: 2.303858292102814, grad_loss: None
2022-04-21 12:45:00,811 DEBUG epoch: 10, train_acc: 9.4140625, val_acc: 10.0, acc_loss: 2.3044277667999267, grad_loss: None
2022-04-21 12:45:01,988 DEBUG epoch: 11, train_acc: 9.2578125, val_acc: 10.0, acc_loss: 2.3034666419029235, grad_loss: None
2022-04-21 12:45:03,117 DEBUG epoch: 12, train_acc: 9.765625, val_acc: 10.0, acc_loss: 2.303232395648956, grad_loss: None
2022-04-21 12:45:04,307 DEBUG epoch: 13, train_acc: 10.703125, val_acc: 10.0, acc_loss: 2.3032850861549377, grad_loss: None
2022-04-21 12:45:05,664 DEBUG epoch: 14, train_acc: 10.703125, val_acc: 10.0, acc_loss: 2.303627681732178, grad_loss: None
2022-04-21 12:45:06,854 DEBUG epoch: 15, train_acc: 10.4296875, val_acc: 10.0, acc_loss: 2.30343074798584, grad_loss: None
2022-04-21 12:45:08,447 DEBUG epoch: 16, train_acc: 9.3359375, val_acc: 10.0, acc_loss: 2.304178440570831, grad_loss: None
2022-04-21 12:45:10,243 DEBUG epoch: 17, train_acc: 10.3125, val_acc: 10.0, acc_loss: 2.3032074570655823, grad_loss: None
2022-04-21 12:45:12,059 DEBUG epoch: 18, train_acc: 10.078125, val_acc: 10.0, acc_loss: 2.303355634212494, grad_loss: None
2022-04-21 12:45:13,900 DEBUG epoch: 19, train_acc: 9.921875, val_acc: 10.0, acc_loss: 2.304256820678711, grad_loss: None
2022-04-21 12:45:15,327 DEBUG epoch: 20, train_acc: 9.9609375, val_acc: 10.0, acc_loss: 2.3039745926856994, grad_loss: None
2022-04-21 12:45:16,440 DEBUG epoch: 21, train_acc: 10.546875, val_acc: 10.0, acc_loss: 2.3020166873931887, grad_loss: None
2022-04-21 12:45:17,628 DEBUG epoch: 22, train_acc: 10.5859375, val_acc: 10.0, acc_loss: 2.302119481563568, grad_loss: None
2022-04-21 12:45:19,191 DEBUG epoch: 23, train_acc: 10.3515625, val_acc: 10.0, acc_loss: 2.303501045703888, grad_loss: None
