2022-04-20 17:42:09,572 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='TrainME_option', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.2, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.02, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=-1.0)
2022-04-20 17:42:13,051 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-20 17:42:13,051 DEBUG  * Prec@1 91.890
2022-04-20 17:42:13,051 DEBUG 24
2022-04-20 17:42:13,052 DEBUG 30
2022-04-20 17:42:13,052 DEBUG surrogate parameter has 38 trainable parameters!
2022-04-20 17:42:16,481 DEBUG epoch: 0, val_acc: 12.27
2022-04-20 17:42:18,618 DEBUG epoch: 1, train_acc: 11.906645569620252, val_acc: 10.0, acc_loss: 2.2940517739404607, grad_loss: None
2022-04-20 17:42:20,726 DEBUG epoch: 2, train_acc: 10.25514240506329, val_acc: 10.0, acc_loss: 2.304413611375833, grad_loss: None
2022-04-20 17:42:22,786 DEBUG epoch: 3, train_acc: 9.869462025316455, val_acc: 10.0, acc_loss: 2.304847059370596, grad_loss: None
2022-04-20 17:42:24,873 DEBUG epoch: 4, train_acc: 11.214398734177216, val_acc: 10.0, acc_loss: 2.301692280588271, grad_loss: None
2022-04-20 17:42:26,953 DEBUG epoch: 5, train_acc: 9.859572784810126, val_acc: 10.0, acc_loss: 2.3046449377566955, grad_loss: None
2022-04-20 17:42:29,193 DEBUG epoch: 6, train_acc: 9.691455696202532, val_acc: 10.0, acc_loss: 2.304329187055177, grad_loss: None
2022-04-20 17:42:31,527 DEBUG epoch: 7, train_acc: 9.691455696202532, val_acc: 10.0, acc_loss: 2.304602444926395, grad_loss: None
2022-04-20 17:42:34,123 DEBUG epoch: 8, train_acc: 9.612341772151899, val_acc: 10.0, acc_loss: 2.3047878742218018, grad_loss: None
2022-04-20 17:42:36,511 DEBUG epoch: 9, train_acc: 9.71123417721519, val_acc: 10.0, acc_loss: 2.3048549181298363, grad_loss: None
2022-04-20 17:42:39,496 DEBUG epoch: 10, train_acc: 9.988132911392405, val_acc: 10.0, acc_loss: 2.305010354971584, grad_loss: None
2022-04-20 17:42:42,173 DEBUG epoch: 11, train_acc: 10.185917721518987, val_acc: 10.0, acc_loss: 2.3044048924989338, grad_loss: None
2022-04-20 17:42:45,462 DEBUG epoch: 12, train_acc: 9.731012658227849, val_acc: 10.0, acc_loss: 2.304924693288682, grad_loss: None
2022-04-20 17:42:48,815 DEBUG epoch: 13, train_acc: 9.414556962025317, val_acc: 10.0, acc_loss: 2.305402420744111, grad_loss: None
2022-04-20 17:42:52,167 DEBUG epoch: 14, train_acc: 9.424446202531646, val_acc: 10.0, acc_loss: 2.3048273611672316, grad_loss: None
2022-04-20 17:42:55,553 DEBUG epoch: 15, train_acc: 10.512262658227849, val_acc: 10.0, acc_loss: 2.3039960861206055, grad_loss: None
2022-04-20 17:42:58,912 DEBUG epoch: 16, train_acc: 10.561708860759493, val_acc: 10.0, acc_loss: 2.3049351867241197, grad_loss: None
2022-04-20 17:43:02,297 DEBUG epoch: 17, train_acc: 9.918908227848101, val_acc: 10.0, acc_loss: 2.3045765900913673, grad_loss: None
2022-04-20 17:43:05,083 DEBUG epoch: 18, train_acc: 9.988132911392405, val_acc: 10.0, acc_loss: 2.304115856750102, grad_loss: None
2022-04-20 17:43:08,446 DEBUG epoch: 19, train_acc: 9.632120253164556, val_acc: 10.0, acc_loss: 2.3045525460303584, grad_loss: None
2022-04-20 17:43:11,798 DEBUG epoch: 20, train_acc: 9.740901898734178, val_acc: 10.0, acc_loss: 2.304671655727338, grad_loss: None
2022-04-20 17:43:15,175 DEBUG epoch: 21, train_acc: 10.205696202531646, val_acc: 10.0, acc_loss: 2.305266974847528, grad_loss: None
2022-04-20 17:43:18,534 DEBUG epoch: 22, train_acc: 9.691455696202532, val_acc: 10.0, acc_loss: 2.3045937954624995, grad_loss: None
2022-04-20 17:43:21,932 DEBUG epoch: 23, train_acc: 9.671677215189874, val_acc: 10.0, acc_loss: 2.3050066730644128, grad_loss: None
2022-04-20 17:43:25,086 DEBUG epoch: 24, train_acc: 10.185917721518987, val_acc: 10.0, acc_loss: 2.3039295763909062, grad_loss: None
2022-04-20 17:43:28,235 DEBUG epoch: 25, train_acc: 10.284810126582279, val_acc: 10.0, acc_loss: 2.3043677233442477, grad_loss: None
2022-04-20 17:43:31,618 DEBUG epoch: 26, train_acc: 10.017800632911392, val_acc: 10.0, acc_loss: 2.3049992338011536, grad_loss: None
2022-04-20 17:43:34,982 DEBUG epoch: 27, train_acc: 9.968354430379748, val_acc: 10.0, acc_loss: 2.3045604681666894, grad_loss: None
2022-04-20 17:43:38,354 DEBUG epoch: 28, train_acc: 9.721123417721518, val_acc: 10.0, acc_loss: 2.3044601754297185, grad_loss: None
2022-04-20 17:43:41,726 DEBUG epoch: 29, train_acc: 9.938686708860759, val_acc: 10.0, acc_loss: 2.304987518093254, grad_loss: None
2022-04-20 17:43:45,080 DEBUG epoch: 30, train_acc: 9.404667721518987, val_acc: 10.0, acc_loss: 2.3043889456157443, grad_loss: None
2022-04-20 17:43:47,954 DEBUG epoch: 31, train_acc: 10.067246835443038, val_acc: 10.0, acc_loss: 2.3040000517157058, grad_loss: None
2022-04-20 17:43:51,357 DEBUG epoch: 32, train_acc: 10.15625, val_acc: 10.0, acc_loss: 2.304585321040093, grad_loss: None
2022-04-20 17:43:54,699 DEBUG epoch: 33, train_acc: 10.05735759493671, val_acc: 10.0, acc_loss: 2.304996707771398, grad_loss: None
2022-04-20 17:43:58,060 DEBUG epoch: 34, train_acc: 10.185917721518987, val_acc: 10.0, acc_loss: 2.304863513270511, grad_loss: None
2022-04-20 17:44:01,414 DEBUG epoch: 35, train_acc: 9.731012658227849, val_acc: 10.0, acc_loss: 2.3046792066549955, grad_loss: None
2022-04-20 17:44:04,771 DEBUG epoch: 36, train_acc: 9.71123417721519, val_acc: 10.0, acc_loss: 2.305091601383837, grad_loss: None
2022-04-20 17:44:07,899 DEBUG epoch: 37, train_acc: 9.92879746835443, val_acc: 10.0, acc_loss: 2.30397466164601, grad_loss: None
2022-04-20 17:44:10,913 DEBUG epoch: 38, train_acc: 9.82990506329114, val_acc: 10.0, acc_loss: 2.3042382711096656, grad_loss: None
2022-04-20 17:44:14,254 DEBUG epoch: 39, train_acc: 9.859572784810126, val_acc: 10.0, acc_loss: 2.3045100833796246, grad_loss: None
2022-04-20 17:44:17,619 DEBUG epoch: 40, train_acc: 9.355221518987342, val_acc: 10.0, acc_loss: 2.3054846027229408, grad_loss: None
2022-04-20 17:44:21,044 DEBUG epoch: 41, train_acc: 9.236550632911392, val_acc: 10.0, acc_loss: 2.304370632654504, grad_loss: None
2022-04-20 17:44:24,568 DEBUG epoch: 42, train_acc: 9.592563291139241, val_acc: 10.0, acc_loss: 2.3046033835109276, grad_loss: None
2022-04-20 17:44:28,031 DEBUG epoch: 43, train_acc: 10.087025316455696, val_acc: 10.0, acc_loss: 2.30399395242522, grad_loss: None
2022-04-20 17:44:30,977 DEBUG epoch: 44, train_acc: 10.007911392405063, val_acc: 10.0, acc_loss: 2.3048488007316106, grad_loss: None
2022-04-20 17:44:34,384 DEBUG epoch: 45, train_acc: 10.136471518987342, val_acc: 10.0, acc_loss: 2.3046590497222126, grad_loss: None
2022-04-20 17:44:37,864 DEBUG epoch: 46, train_acc: 9.800237341772151, val_acc: 10.0, acc_loss: 2.304491755328601, grad_loss: None
2022-04-20 17:44:41,276 DEBUG epoch: 47, train_acc: 10.027689873417721, val_acc: 10.0, acc_loss: 2.3046324886853182, grad_loss: None
2022-04-20 17:44:44,655 DEBUG epoch: 48, train_acc: 9.642009493670885, val_acc: 10.0, acc_loss: 2.3046853331070913, grad_loss: None
2022-04-20 17:44:48,055 DEBUG epoch: 49, train_acc: 10.05735759493671, val_acc: 10.0, acc_loss: 2.304710475704338, grad_loss: None
