2022-04-21 02:20:22,791 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=-1.0)
2022-04-21 02:20:26,264 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 02:20:26,264 DEBUG  * Prec@1 91.890
2022-04-21 02:20:26,265 DEBUG 24
2022-04-21 02:20:26,265 DEBUG 30
2022-04-21 02:20:26,265 DEBUG surrogate parameter has 38 trainable parameters!
2022-04-21 02:20:30,636 DEBUG epoch: 0, val_acc: 12.27
2022-04-21 02:20:33,403 DEBUG epoch: 1, train_acc: 0.0, val_acc: 12.54, acc_loss: 0.0, grad_loss: 4.038285112380981
2022-04-21 02:20:36,193 DEBUG epoch: 2, train_acc: 0.0, val_acc: 12.4, acc_loss: 0.0, grad_loss: 4.038236968517303
2022-04-21 02:20:39,000 DEBUG epoch: 3, train_acc: 0.0, val_acc: 11.97, acc_loss: 0.0, grad_loss: 4.038208634853363
2022-04-21 02:20:41,768 DEBUG epoch: 4, train_acc: 0.0, val_acc: 11.4, acc_loss: 0.0, grad_loss: 4.038192126750946
2022-04-21 02:20:44,553 DEBUG epoch: 5, train_acc: 0.0, val_acc: 10.36, acc_loss: 0.0, grad_loss: 4.038182504177094
2022-04-21 02:20:47,337 DEBUG epoch: 6, train_acc: 0.0, val_acc: 10.08, acc_loss: 0.0, grad_loss: 4.038176987171173
2022-04-21 02:20:50,151 DEBUG epoch: 7, train_acc: 0.0, val_acc: 10.04, acc_loss: 0.0, grad_loss: 4.038173837661743
2022-04-21 02:20:52,963 DEBUG epoch: 8, train_acc: 0.0, val_acc: 10.74, acc_loss: 0.0, grad_loss: 4.038172042369842
2022-04-21 02:20:55,741 DEBUG epoch: 9, train_acc: 0.0, val_acc: 12.98, acc_loss: 0.0, grad_loss: 4.038171083927154
2022-04-21 02:20:58,539 DEBUG epoch: 10, train_acc: 0.0, val_acc: 10.2, acc_loss: 0.0, grad_loss: 4.03817048072815
2022-04-21 02:21:01,301 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038170182704926
2022-04-21 02:21:04,108 DEBUG epoch: 12, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038170018196106
2022-04-21 02:21:06,906 DEBUG epoch: 13, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169915676117
2022-04-21 02:21:09,720 DEBUG epoch: 14, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169913291931
2022-04-21 02:21:12,537 DEBUG epoch: 15, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0381698179245
2022-04-21 02:21:15,302 DEBUG epoch: 16, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169846534729
2022-04-21 02:21:18,080 DEBUG epoch: 17, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169822692871
2022-04-21 02:21:20,885 DEBUG epoch: 18, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169832229614
2022-04-21 02:21:23,664 DEBUG epoch: 19, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169832229614
2022-04-21 02:21:26,487 DEBUG epoch: 20, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169829845429
2022-04-21 02:21:29,289 DEBUG epoch: 21, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0381698369979855
2022-04-21 02:21:32,091 DEBUG epoch: 22, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169846534729
2022-04-21 02:21:34,877 DEBUG epoch: 23, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169839382172
2022-04-21 02:21:37,680 DEBUG epoch: 24, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0381698369979855
2022-04-21 02:21:40,486 DEBUG epoch: 25, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169844150543
2022-04-21 02:21:43,265 DEBUG epoch: 26, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169858455658
2022-04-21 02:21:46,048 DEBUG epoch: 27, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169848918915
2022-04-21 02:21:48,871 DEBUG epoch: 28, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169848918915
2022-04-21 02:21:51,665 DEBUG epoch: 29, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169848918915
2022-04-21 02:21:54,436 DEBUG epoch: 30, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169844150543
2022-04-21 02:21:57,210 DEBUG epoch: 31, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169853687286
2022-04-21 02:21:59,989 DEBUG epoch: 32, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169853687286
2022-04-21 02:22:02,763 DEBUG epoch: 33, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169853687286
2022-04-21 02:22:05,568 DEBUG epoch: 34, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169853687286
2022-04-21 02:22:08,344 DEBUG epoch: 35, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169853687286
