2022-04-21 02:59:41,560 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_SVHN', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=-1.0)
2022-04-21 02:59:45,017 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 02:59:45,018 DEBUG  * Prec@1 91.890
2022-04-21 02:59:45,018 DEBUG 24
2022-04-21 02:59:45,018 DEBUG 30
2022-04-21 02:59:45,019 DEBUG surrogate parameter has 38 trainable parameters!
2022-04-21 02:59:50,900 DEBUG epoch: 0, val_acc: 12.27
2022-04-21 02:59:53,779 DEBUG epoch: 1, train_acc: 0.0, val_acc: 12.38, acc_loss: 0.0, grad_loss: 4.032553009986877
2022-04-21 02:59:56,609 DEBUG epoch: 2, train_acc: 0.0, val_acc: 12.36, acc_loss: 0.0, grad_loss: 4.032509217262268
2022-04-21 02:59:59,458 DEBUG epoch: 3, train_acc: 0.0, val_acc: 12.1, acc_loss: 0.0, grad_loss: 4.032485384941101
2022-04-21 03:00:02,315 DEBUG epoch: 4, train_acc: 0.0, val_acc: 11.71, acc_loss: 0.0, grad_loss: 4.032472367286682
2022-04-21 03:00:05,162 DEBUG epoch: 5, train_acc: 0.0, val_acc: 11.57, acc_loss: 0.0, grad_loss: 4.0324653005599975
2022-04-21 03:00:08,035 DEBUG epoch: 6, train_acc: 0.0, val_acc: 13.01, acc_loss: 0.0, grad_loss: 4.032461581230163
2022-04-21 03:00:10,875 DEBUG epoch: 7, train_acc: 0.0, val_acc: 10.51, acc_loss: 0.0, grad_loss: 4.032459661960602
2022-04-21 03:00:13,732 DEBUG epoch: 8, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458703517914
2022-04-21 03:00:16,583 DEBUG epoch: 9, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458264827728
2022-04-21 03:00:19,458 DEBUG epoch: 10, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.03245808839798
2022-04-21 03:00:22,317 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580454826355
2022-04-21 03:00:25,170 DEBUG epoch: 12, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458007335663
2022-04-21 03:00:28,054 DEBUG epoch: 13, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458009719849
2022-04-21 03:00:30,910 DEBUG epoch: 14, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032457957267761
2022-04-21 03:00:33,771 DEBUG epoch: 15, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032457993030548
2022-04-21 03:00:36,630 DEBUG epoch: 16, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458004951477
2022-04-21 03:00:39,498 DEBUG epoch: 17, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458009719849
2022-04-21 03:00:42,363 DEBUG epoch: 18, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458028793335
2022-04-21 03:00:45,225 DEBUG epoch: 19, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458019256592
2022-04-21 03:00:48,073 DEBUG epoch: 20, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458019256592
2022-04-21 03:00:50,995 DEBUG epoch: 21, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458016872406
2022-04-21 03:00:53,856 DEBUG epoch: 22, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458016872406
2022-04-21 03:00:56,711 DEBUG epoch: 23, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.03245799779892
2022-04-21 03:00:59,549 DEBUG epoch: 24, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:02,420 DEBUG epoch: 25, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458033561706
2022-04-21 03:01:05,290 DEBUG epoch: 26, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458040714264
2022-04-21 03:01:08,146 DEBUG epoch: 27, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458019256592
2022-04-21 03:01:11,002 DEBUG epoch: 28, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458026409149
2022-04-21 03:01:13,831 DEBUG epoch: 29, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.032458021640777
2022-04-21 03:01:16,652 DEBUG epoch: 30, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:19,453 DEBUG epoch: 31, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:22,310 DEBUG epoch: 32, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:25,160 DEBUG epoch: 33, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:27,999 DEBUG epoch: 34, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:30,852 DEBUG epoch: 35, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:33,698 DEBUG epoch: 36, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:36,572 DEBUG epoch: 37, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:39,389 DEBUG epoch: 38, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:42,215 DEBUG epoch: 39, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:45,087 DEBUG epoch: 40, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:47,935 DEBUG epoch: 41, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:50,770 DEBUG epoch: 42, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:53,623 DEBUG epoch: 43, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:56,458 DEBUG epoch: 44, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:01:59,297 DEBUG epoch: 45, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:02,168 DEBUG epoch: 46, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:05,034 DEBUG epoch: 47, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:07,862 DEBUG epoch: 48, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:10,733 DEBUG epoch: 49, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:13,576 DEBUG epoch: 50, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:16,420 DEBUG epoch: 51, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:19,289 DEBUG epoch: 52, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:22,162 DEBUG epoch: 53, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:25,056 DEBUG epoch: 54, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:27,900 DEBUG epoch: 55, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:30,739 DEBUG epoch: 56, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:33,574 DEBUG epoch: 57, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:36,423 DEBUG epoch: 58, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:39,245 DEBUG epoch: 59, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:42,089 DEBUG epoch: 60, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:44,938 DEBUG epoch: 61, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:47,810 DEBUG epoch: 62, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:50,656 DEBUG epoch: 63, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
2022-04-21 03:02:53,489 DEBUG epoch: 64, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.0324580240249634
