2022-04-21 00:48:12,033 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=2.0)
2022-04-21 00:48:15,525 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 00:48:15,525 DEBUG  * Prec@1 91.890
2022-04-21 00:48:15,526 DEBUG load 1.weight to surrogate
2022-04-21 00:48:15,526 DEBUG load 1.bias to surrogate
2022-04-21 00:48:15,526 DEBUG 4
2022-04-21 00:48:15,526 DEBUG surrogate parameter has 4 trainable parameters!
2022-04-21 00:48:19,926 DEBUG epoch: 0, val_acc: 10.16
2022-04-21 00:48:22,645 DEBUG epoch: 1, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 3.3368260979652407
2022-04-21 00:48:25,361 DEBUG epoch: 2, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 2.428900725841522
2022-04-21 00:48:28,062 DEBUG epoch: 3, train_acc: 0.0, val_acc: 63.65, acc_loss: 0.0, grad_loss: 1.6317561054229737
2022-04-21 00:48:30,790 DEBUG epoch: 4, train_acc: 0.0, val_acc: 91.25, acc_loss: 0.0, grad_loss: 0.8360087808966636
2022-04-21 00:48:33,515 DEBUG epoch: 5, train_acc: 0.0, val_acc: 91.93, acc_loss: 0.0, grad_loss: 0.48209731370210646
2022-04-21 00:48:36,219 DEBUG epoch: 6, train_acc: 0.0, val_acc: 91.95, acc_loss: 0.0, grad_loss: 0.3756238055229187
2022-04-21 00:48:38,933 DEBUG epoch: 7, train_acc: 0.0, val_acc: 91.74, acc_loss: 0.0, grad_loss: 0.3717938083410263
2022-04-21 00:48:41,627 DEBUG epoch: 8, train_acc: 0.0, val_acc: 91.96, acc_loss: 0.0, grad_loss: 0.4235425007343292
2022-04-21 00:48:44,355 DEBUG epoch: 9, train_acc: 0.0, val_acc: 91.87, acc_loss: 0.0, grad_loss: 0.38776561051607134
2022-04-21 00:48:47,063 DEBUG epoch: 10, train_acc: 0.0, val_acc: 91.84, acc_loss: 0.0, grad_loss: 0.3451339828968048
2022-04-21 00:48:49,759 DEBUG epoch: 11, train_acc: 0.0, val_acc: 91.84, acc_loss: 0.0, grad_loss: 0.3338107784092426
2022-04-21 00:48:52,483 DEBUG epoch: 12, train_acc: 0.0, val_acc: 91.89, acc_loss: 0.0, grad_loss: 0.3134168517589569
2022-04-21 00:48:55,195 DEBUG epoch: 13, train_acc: 0.0, val_acc: 91.82, acc_loss: 0.0, grad_loss: 0.3850756615400314
2022-04-21 00:48:57,874 DEBUG epoch: 14, train_acc: 0.0, val_acc: 91.8, acc_loss: 0.0, grad_loss: 0.37836239516735076
2022-04-21 00:49:00,564 DEBUG epoch: 15, train_acc: 0.0, val_acc: 91.84, acc_loss: 0.0, grad_loss: 0.38260047614574433
2022-04-21 00:49:03,271 DEBUG epoch: 16, train_acc: 0.0, val_acc: 91.9, acc_loss: 0.0, grad_loss: 0.3740071514248848
2022-04-21 00:49:06,000 DEBUG epoch: 17, train_acc: 0.0, val_acc: 91.82, acc_loss: 0.0, grad_loss: 0.35236172780394553
2022-04-21 00:49:08,700 DEBUG epoch: 18, train_acc: 0.0, val_acc: 91.87, acc_loss: 0.0, grad_loss: 0.3416252325475216
2022-04-21 00:49:11,393 DEBUG epoch: 19, train_acc: 0.0, val_acc: 91.83, acc_loss: 0.0, grad_loss: 0.3215739586949348
2022-04-21 00:49:14,103 DEBUG epoch: 20, train_acc: 0.0, val_acc: 91.79, acc_loss: 0.0, grad_loss: 0.3669439771771431
2022-04-21 00:49:16,803 DEBUG epoch: 21, train_acc: 0.0, val_acc: 91.83, acc_loss: 0.0, grad_loss: 0.36068705320358274
2022-04-21 00:49:19,507 DEBUG epoch: 22, train_acc: 0.0, val_acc: 91.83, acc_loss: 0.0, grad_loss: 0.3557398283481598
2022-04-21 00:49:22,208 DEBUG epoch: 23, train_acc: 0.0, val_acc: 91.86, acc_loss: 0.0, grad_loss: 0.3540026196837425
2022-04-21 00:49:24,929 DEBUG epoch: 24, train_acc: 0.0, val_acc: 91.83, acc_loss: 0.0, grad_loss: 0.3555099141597748
2022-04-21 00:49:27,667 DEBUG epoch: 25, train_acc: 0.0, val_acc: 91.85, acc_loss: 0.0, grad_loss: 0.3490471562743187
2022-04-21 00:49:30,435 DEBUG epoch: 26, train_acc: 0.0, val_acc: 91.85, acc_loss: 0.0, grad_loss: 0.3348480026423931
2022-04-21 00:49:33,146 DEBUG epoch: 27, train_acc: 0.0, val_acc: 91.85, acc_loss: 0.0, grad_loss: 0.3373075807094574
2022-04-21 00:49:35,902 DEBUG epoch: 28, train_acc: 0.0, val_acc: 91.84, acc_loss: 0.0, grad_loss: 0.3410612311959267
2022-04-21 00:49:38,601 DEBUG epoch: 29, train_acc: 0.0, val_acc: 91.83, acc_loss: 0.0, grad_loss: 0.3441748110949993
2022-04-21 00:49:41,309 DEBUG epoch: 30, train_acc: 0.0, val_acc: 91.8, acc_loss: 0.0, grad_loss: 0.3340379425883293
2022-04-21 00:49:44,023 DEBUG epoch: 31, train_acc: 0.0, val_acc: 91.71, acc_loss: 0.0, grad_loss: 0.35218529343605043
2022-04-21 00:49:46,698 DEBUG epoch: 32, train_acc: 0.0, val_acc: 91.72, acc_loss: 0.0, grad_loss: 0.37079138711094856
2022-04-21 00:49:49,450 DEBUG epoch: 33, train_acc: 0.0, val_acc: 91.72, acc_loss: 0.0, grad_loss: 0.36995293349027636
2022-04-21 00:49:52,152 DEBUG epoch: 34, train_acc: 0.0, val_acc: 91.81, acc_loss: 0.0, grad_loss: 0.37146279722452163
2022-04-21 00:49:54,912 DEBUG epoch: 35, train_acc: 0.0, val_acc: 91.7, acc_loss: 0.0, grad_loss: 0.35869081169366834
2022-04-21 00:49:57,624 DEBUG epoch: 36, train_acc: 0.0, val_acc: 91.82, acc_loss: 0.0, grad_loss: 0.36481004595756533
2022-04-21 00:50:00,361 DEBUG epoch: 37, train_acc: 0.0, val_acc: 91.9, acc_loss: 0.0, grad_loss: 0.33266056671738625
2022-04-21 00:50:03,108 DEBUG epoch: 38, train_acc: 0.0, val_acc: 91.73, acc_loss: 0.0, grad_loss: 0.3371179443597794
2022-04-21 00:50:05,821 DEBUG epoch: 39, train_acc: 0.0, val_acc: 91.92, acc_loss: 0.0, grad_loss: 0.34135111421346664
2022-04-21 00:50:08,506 DEBUG epoch: 40, train_acc: 0.0, val_acc: 91.84, acc_loss: 0.0, grad_loss: 0.3079441402852535
2022-04-21 00:50:11,258 DEBUG epoch: 41, train_acc: 0.0, val_acc: 91.81, acc_loss: 0.0, grad_loss: 0.3458784085512161
2022-04-21 00:50:14,002 DEBUG epoch: 42, train_acc: 0.0, val_acc: 91.8, acc_loss: 0.0, grad_loss: 0.3440653893351555
2022-04-21 00:50:16,725 DEBUG epoch: 43, train_acc: 0.0, val_acc: 91.87, acc_loss: 0.0, grad_loss: 0.3483306013047695
2022-04-21 00:50:19,450 DEBUG epoch: 44, train_acc: 0.0, val_acc: 91.86, acc_loss: 0.0, grad_loss: 0.3191006699204445
2022-04-21 00:50:22,191 DEBUG epoch: 45, train_acc: 0.0, val_acc: 91.79, acc_loss: 0.0, grad_loss: 0.32997156530618665
2022-04-21 00:50:24,958 DEBUG epoch: 46, train_acc: 0.0, val_acc: 91.89, acc_loss: 0.0, grad_loss: 0.34602069824934006
