2022-04-21 18:22:23,094 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=3.0)
2022-04-21 18:22:26,558 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 18:22:26,558 DEBUG  * Prec@1 91.890
2022-04-21 18:22:26,558 DEBUG 6
2022-04-21 18:22:26,558 DEBUG surrogate parameter has 6 trainable parameters!
2022-04-21 18:22:31,218 DEBUG epoch: 0, val_acc: 5.23, val_fidelity: 4.91
2022-04-21 18:22:33,997 DEBUG epoch: 1, train_acc: 0.0, val_acc: 10.44, fidel_score: 10.62, acc_loss: 0.0, grad_loss: 3.981460287601133
2022-04-21 18:22:36,772 DEBUG epoch: 2, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.23, acc_loss: 0.0, grad_loss: 3.4456554907786696
2022-04-21 18:22:39,531 DEBUG epoch: 3, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.23, acc_loss: 0.0, grad_loss: 2.9442636332934415
2022-04-21 18:22:42,298 DEBUG epoch: 4, train_acc: 0.0, val_acc: 18.16, fidel_score: 19.9, acc_loss: 0.0, grad_loss: 2.5078720005252695
2022-04-21 18:22:45,052 DEBUG epoch: 5, train_acc: 0.0, val_acc: 18.48, fidel_score: 20.45, acc_loss: 0.0, grad_loss: 2.109987524491322
2022-04-21 18:22:47,808 DEBUG epoch: 6, train_acc: 0.0, val_acc: 53.67, fidel_score: 58.35, acc_loss: 0.0, grad_loss: 1.7483634571485882
2022-04-21 18:22:50,571 DEBUG epoch: 7, train_acc: 0.0, val_acc: 63.48, fidel_score: 68.72, acc_loss: 0.0, grad_loss: 1.5121439748172518
2022-04-21 18:22:53,342 DEBUG epoch: 8, train_acc: 0.0, val_acc: 54.26, fidel_score: 58.67, acc_loss: 0.0, grad_loss: 1.762000387982477
2022-04-21 18:22:56,121 DEBUG epoch: 9, train_acc: 0.0, val_acc: 73.09, fidel_score: 78.63, acc_loss: 0.0, grad_loss: 1.530358084394962
2022-04-21 18:22:58,886 DEBUG epoch: 10, train_acc: 0.0, val_acc: 65.35, fidel_score: 68.43, acc_loss: 0.0, grad_loss: 2.222671594800828
2022-04-21 18:23:01,659 DEBUG epoch: 11, train_acc: 0.0, val_acc: 57.55, fidel_score: 60.5, acc_loss: 0.0, grad_loss: 2.519290355187428
2022-04-21 18:23:04,437 DEBUG epoch: 12, train_acc: 0.0, val_acc: 72.97, fidel_score: 78.53, acc_loss: 0.0, grad_loss: 1.7409184190291394
2022-04-21 18:23:07,213 DEBUG epoch: 13, train_acc: 0.0, val_acc: 82.57, fidel_score: 88.84, acc_loss: 0.0, grad_loss: 1.9551933098442946
2022-04-21 18:23:09,982 DEBUG epoch: 14, train_acc: 0.0, val_acc: 91.65, fidel_score: 99.04, acc_loss: 0.0, grad_loss: 1.3183771764175802
