2022-04-21 21:00:11,138 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=7.0)
2022-04-21 21:00:14,637 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 21:00:14,637 DEBUG  * Prec@1 91.890
2022-04-21 21:00:14,642 DEBUG load 0.weight to surrogate
2022-04-21 21:00:14,642 DEBUG load 0.bias to surrogate
2022-04-21 21:00:14,642 DEBUG load 1.weight to surrogate
2022-04-21 21:00:14,643 DEBUG load 1.bias to surrogate
2022-04-21 21:00:14,643 DEBUG load 1.running_mean to surrogate
2022-04-21 21:00:14,643 DEBUG load 1.running_var to surrogate
2022-04-21 21:00:14,643 DEBUG load 1.num_batches_tracked to surrogate
2022-04-21 21:00:14,643 DEBUG load 3.weight to surrogate
2022-04-21 21:00:14,643 DEBUG load 3.bias to surrogate
2022-04-21 21:00:14,643 DEBUG load 4.weight to surrogate
2022-04-21 21:00:14,643 DEBUG load 4.bias to surrogate
2022-04-21 21:00:14,644 DEBUG load 4.running_mean to surrogate
2022-04-21 21:00:14,644 DEBUG load 4.running_var to surrogate
2022-04-21 21:00:14,644 DEBUG load 4.num_batches_tracked to surrogate
2022-04-21 21:00:14,649 DEBUG 16
2022-04-21 21:00:14,650 DEBUG 22
2022-04-21 21:00:14,650 DEBUG surrogate parameter has 22 trainable parameters!
2022-04-21 21:00:19,269 DEBUG epoch: 0, val_acc: 8.82, val_fidelity: 8.82
2022-04-21 21:00:22,063 DEBUG epoch: 1, train_acc: 0.0, val_acc: 9.87, fidel_score: 10.0, acc_loss: 0.0, grad_loss: 4.032707763623588
2022-04-21 21:00:24,877 DEBUG epoch: 2, train_acc: 0.0, val_acc: 10.35, fidel_score: 10.57, acc_loss: 0.0, grad_loss: 4.025970528397379
2022-04-21 21:00:27,684 DEBUG epoch: 3, train_acc: 0.0, val_acc: 10.18, fidel_score: 10.4, acc_loss: 0.0, grad_loss: 4.035371025906334
2022-04-21 21:00:30,487 DEBUG epoch: 4, train_acc: 0.0, val_acc: 10.13, fidel_score: 10.35, acc_loss: 0.0, grad_loss: 4.033619539647162
2022-04-21 21:00:33,305 DEBUG epoch: 5, train_acc: 0.0, val_acc: 10.02, fidel_score: 10.25, acc_loss: 0.0, grad_loss: 4.041743999795068
2022-04-21 21:00:36,138 DEBUG epoch: 6, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.23, acc_loss: 0.0, grad_loss: 4.0247908151602445
2022-04-21 21:00:38,942 DEBUG epoch: 7, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.23, acc_loss: 0.0, grad_loss: 4.040066658696042
2022-04-21 21:00:41,748 DEBUG epoch: 8, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.23, acc_loss: 0.0, grad_loss: 4.035522626925118
2022-04-21 21:00:44,576 DEBUG epoch: 9, train_acc: 0.0, val_acc: 10.0, fidel_score: 10.23, acc_loss: 0.0, grad_loss: 4.0307872385918335
2022-04-21 21:00:47,393 DEBUG epoch: 10, train_acc: 0.0, val_acc: 10.02, fidel_score: 10.25, acc_loss: 0.0, grad_loss: 4.048809766769409
2022-04-21 21:00:50,207 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.06, fidel_score: 10.29, acc_loss: 0.0, grad_loss: 4.032642044598544
2022-04-21 21:00:53,020 DEBUG epoch: 12, train_acc: 0.0, val_acc: 10.77, fidel_score: 11.07, acc_loss: 0.0, grad_loss: 4.0381615010997916
2022-04-21 21:00:55,826 DEBUG epoch: 13, train_acc: 0.0, val_acc: 14.95, fidel_score: 15.45, acc_loss: 0.0, grad_loss: 4.049444358560104
