2022-04-21 21:35:13,371 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_SVHN', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=7.0)
2022-04-21 21:35:16,859 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 21:35:16,859 DEBUG  * Prec@1 91.890
2022-04-21 21:35:16,865 DEBUG load 0.weight to surrogate
2022-04-21 21:35:16,865 DEBUG load 0.bias to surrogate
2022-04-21 21:35:16,865 DEBUG load 1.weight to surrogate
2022-04-21 21:35:16,865 DEBUG load 1.bias to surrogate
2022-04-21 21:35:16,865 DEBUG load 1.running_mean to surrogate
2022-04-21 21:35:16,865 DEBUG load 1.running_var to surrogate
2022-04-21 21:35:16,865 DEBUG load 1.num_batches_tracked to surrogate
2022-04-21 21:35:16,865 DEBUG load 3.weight to surrogate
2022-04-21 21:35:16,865 DEBUG load 3.bias to surrogate
2022-04-21 21:35:16,866 DEBUG load 4.weight to surrogate
2022-04-21 21:35:16,866 DEBUG load 4.bias to surrogate
2022-04-21 21:35:16,866 DEBUG load 4.running_mean to surrogate
2022-04-21 21:35:16,866 DEBUG load 4.running_var to surrogate
2022-04-21 21:35:16,866 DEBUG load 4.num_batches_tracked to surrogate
2022-04-21 21:35:16,871 DEBUG 16
2022-04-21 21:35:16,871 DEBUG 22
2022-04-21 21:35:16,871 DEBUG surrogate parameter has 22 trainable parameters!
2022-04-21 21:35:21,596 DEBUG epoch: 0, val_acc: 8.82, val_fidelity: 8.82
2022-04-21 21:35:22,845 DEBUG epoch: 1, train_acc: 0.0, val_acc: 8.85, fidel_score: 8.87, acc_loss: 0.0, grad_loss: 4.01879209280014
2022-04-21 21:35:24,068 DEBUG epoch: 2, train_acc: 0.0, val_acc: 8.91, fidel_score: 8.96, acc_loss: 0.0, grad_loss: 4.011424332857132
2022-04-21 21:35:25,284 DEBUG epoch: 3, train_acc: 0.0, val_acc: 9.12, fidel_score: 9.2, acc_loss: 0.0, grad_loss: 4.01879146695137
2022-04-21 21:35:26,523 DEBUG epoch: 4, train_acc: 0.0, val_acc: 9.22, fidel_score: 9.32, acc_loss: 0.0, grad_loss: 4.013554722070694
2022-04-21 21:35:27,776 DEBUG epoch: 5, train_acc: 0.0, val_acc: 9.46, fidel_score: 9.58, acc_loss: 0.0, grad_loss: 4.014380693435669
2022-04-21 21:35:29,017 DEBUG epoch: 6, train_acc: 0.0, val_acc: 9.44, fidel_score: 9.58, acc_loss: 0.0, grad_loss: 4.018787682056427
2022-04-21 21:35:30,248 DEBUG epoch: 7, train_acc: 0.0, val_acc: 9.54, fidel_score: 9.7, acc_loss: 0.0, grad_loss: 4.016979843378067
2022-04-21 21:35:31,488 DEBUG epoch: 8, train_acc: 0.0, val_acc: 9.64, fidel_score: 9.8, acc_loss: 0.0, grad_loss: 4.018631130456924
2022-04-21 21:35:32,720 DEBUG epoch: 9, train_acc: 0.0, val_acc: 9.82, fidel_score: 9.96, acc_loss: 0.0, grad_loss: 4.021128088235855
2022-04-21 21:35:33,966 DEBUG epoch: 10, train_acc: 0.0, val_acc: 9.93, fidel_score: 10.1, acc_loss: 0.0, grad_loss: 4.021432250738144
2022-04-21 21:35:35,218 DEBUG epoch: 11, train_acc: 0.0, val_acc: 9.87, fidel_score: 10.04, acc_loss: 0.0, grad_loss: 4.011628717184067
2022-04-21 21:35:36,445 DEBUG epoch: 12, train_acc: 0.0, val_acc: 9.92, fidel_score: 10.12, acc_loss: 0.0, grad_loss: 4.021955907344818
2022-04-21 21:35:37,695 DEBUG epoch: 13, train_acc: 0.0, val_acc: 9.89, fidel_score: 10.11, acc_loss: 0.0, grad_loss: 4.023742228746414
