2022-04-21 02:06:11,232 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=8.0)
2022-04-21 02:06:14,696 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 02:06:14,697 DEBUG  * Prec@1 91.890
2022-04-21 02:06:14,702 DEBUG load 0.weight to surrogate
2022-04-21 02:06:14,702 DEBUG load 0.bias to surrogate
2022-04-21 02:06:14,702 DEBUG load 1.weight to surrogate
2022-04-21 02:06:14,702 DEBUG load 1.bias to surrogate
2022-04-21 02:06:14,702 DEBUG load 1.running_mean to surrogate
2022-04-21 02:06:14,702 DEBUG load 1.running_var to surrogate
2022-04-21 02:06:14,702 DEBUG load 1.num_batches_tracked to surrogate
2022-04-21 02:06:14,707 DEBUG 20
2022-04-21 02:06:14,707 DEBUG 26
2022-04-21 02:06:14,707 DEBUG surrogate parameter has 26 trainable parameters!
2022-04-21 02:06:19,093 DEBUG epoch: 0, val_acc: 8.63
2022-04-21 02:06:21,877 DEBUG epoch: 1, train_acc: 0.0, val_acc: 9.81, acc_loss: 0.0, grad_loss: 4.038285691738128
2022-04-21 02:06:24,686 DEBUG epoch: 2, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.03823632478714
2022-04-21 02:06:27,470 DEBUG epoch: 3, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038207492828369
2022-04-21 02:06:30,257 DEBUG epoch: 4, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038190746307373
2022-04-21 02:06:33,063 DEBUG epoch: 5, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038181245326996
2022-04-21 02:06:35,875 DEBUG epoch: 6, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038175749778747
2022-04-21 02:06:38,729 DEBUG epoch: 7, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.03817271232605
2022-04-21 02:06:41,515 DEBUG epoch: 8, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038171002864837
2022-04-21 02:06:44,322 DEBUG epoch: 9, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038170154094696
2022-04-21 02:06:47,108 DEBUG epoch: 10, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169705867768
2022-04-21 02:06:49,943 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.12, acc_loss: 0.0, grad_loss: 4.038169596195221
2022-04-21 02:06:52,738 DEBUG epoch: 12, train_acc: 0.0, val_acc: 12.71, acc_loss: 0.0, grad_loss: 4.038169512748718
2022-04-21 02:06:55,501 DEBUG epoch: 13, train_acc: 0.0, val_acc: 13.94, acc_loss: 0.0, grad_loss: 4.038169491291046
2022-04-21 02:06:58,278 DEBUG epoch: 14, train_acc: 0.0, val_acc: 11.14, acc_loss: 0.0, grad_loss: 4.038169529438019
2022-04-21 02:07:01,036 DEBUG epoch: 15, train_acc: 0.0, val_acc: 10.19, acc_loss: 0.0, grad_loss: 4.038169622421265
2022-04-21 02:07:03,812 DEBUG epoch: 16, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169655799866
2022-04-21 02:07:06,600 DEBUG epoch: 17, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169691562652
2022-04-21 02:07:09,385 DEBUG epoch: 18, train_acc: 0.0, val_acc: 10.0, acc_loss: 0.0, grad_loss: 4.038169717788696
2022-04-21 02:07:12,202 DEBUG epoch: 19, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.03816972732544
2022-04-21 02:07:14,988 DEBUG epoch: 20, train_acc: 0.0, val_acc: 9.57, acc_loss: 0.0, grad_loss: 4.038169770240784
2022-04-21 02:07:17,773 DEBUG epoch: 21, train_acc: 0.0, val_acc: 9.31, acc_loss: 0.0, grad_loss: 4.038169820308685
2022-04-21 02:07:20,613 DEBUG epoch: 22, train_acc: 0.0, val_acc: 9.76, acc_loss: 0.0, grad_loss: 4.038169815540313
2022-04-21 02:07:23,381 DEBUG epoch: 23, train_acc: 0.0, val_acc: 10.04, acc_loss: 0.0, grad_loss: 4.0381698346138
2022-04-21 02:07:26,213 DEBUG epoch: 24, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.038169848918915
