2022-04-22 15:56:25,916 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR10', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=2.0)
2022-04-22 15:56:29,406 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-22 15:56:29,406 DEBUG  * Prec@1 68.630
2022-04-22 15:56:29,406 DEBUG load 1.weight to surrogate
2022-04-22 15:56:29,406 DEBUG load 1.bias to surrogate
2022-04-22 15:56:29,407 DEBUG 4
2022-04-22 15:56:29,407 DEBUG surrogate parameter has 4 trainable parameters!
2022-04-22 15:56:34,027 DEBUG epoch: 0, val_acc: 0.98, val_fidelity: 0.99
2022-04-22 15:56:36,790 DEBUG epoch: 1, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 3.7279351300831083
2022-04-22 15:56:39,556 DEBUG epoch: 2, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.8893694032596637
2022-04-22 15:56:42,309 DEBUG epoch: 3, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.758410523209391
2022-04-22 15:56:45,061 DEBUG epoch: 4, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.7492316584043865
2022-04-22 15:56:47,804 DEBUG epoch: 5, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.661488994767394
2022-04-22 15:56:50,548 DEBUG epoch: 6, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.544115181210675
2022-04-22 15:56:53,292 DEBUG epoch: 7, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.554373566108414
2022-04-22 15:56:56,037 DEBUG epoch: 8, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.523624989050853
2022-04-22 15:56:58,797 DEBUG epoch: 9, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.4089479929284203
2022-04-22 15:57:01,558 DEBUG epoch: 10, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.319076067284693
2022-04-22 15:57:04,306 DEBUG epoch: 11, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.306423526775988
2022-04-22 15:57:07,064 DEBUG epoch: 12, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.251091438003733
2022-04-22 15:57:09,812 DEBUG epoch: 13, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.2110476795631118
2022-04-22 15:57:12,565 DEBUG epoch: 14, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.156436745124527
2022-04-22 15:57:15,318 DEBUG epoch: 15, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.1521618351151672
2022-04-22 15:57:18,060 DEBUG epoch: 16, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.147991613496708
2022-04-22 15:57:20,813 DEBUG epoch: 17, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.1322156869912448
2022-04-22 15:57:23,558 DEBUG epoch: 18, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.064402270920669
2022-04-22 15:57:26,315 DEBUG epoch: 19, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.0738916713980178
2022-04-22 15:57:29,063 DEBUG epoch: 20, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.0333849915975257
