2022-04-22 14:33:39,891 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='Generator_option', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=8.0)
2022-04-22 14:33:43,417 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-22 14:33:43,417 DEBUG  * Prec@1 68.630
2022-04-22 14:33:43,422 DEBUG load 0.weight to surrogate
2022-04-22 14:33:43,422 DEBUG load 0.bias to surrogate
2022-04-22 14:33:43,422 DEBUG load 1.weight to surrogate
2022-04-22 14:33:43,423 DEBUG load 1.bias to surrogate
2022-04-22 14:33:43,423 DEBUG load 1.running_mean to surrogate
2022-04-22 14:33:43,423 DEBUG load 1.running_var to surrogate
2022-04-22 14:33:43,423 DEBUG load 1.num_batches_tracked to surrogate
2022-04-22 14:33:43,427 DEBUG 20
2022-04-22 14:33:43,428 DEBUG 26
2022-04-22 14:33:43,428 DEBUG surrogate parameter has 26 trainable parameters!
2022-04-22 14:33:43,684 DEBUG Train step: 10	 CE_Loss: 10.3179359436 diversity_Loss: 0.7440038919 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-22 14:33:43,684 DEBUG End of Training: 10	 CE_Loss: 10.3179359436 diversity_Loss: 0.7440038919 bc_losses (G):  0.0000000000  bc_losses (D)):  0.0000000000
2022-04-22 14:33:44,655 DEBUG epoch: 0, val_acc: 1.0, val_fidelity: 1.02
2022-04-22 14:33:46,013 DEBUG epoch: 1, train_acc: 1.015625, val_acc: 1.0, fidel_score: 0.78, acc_loss: 4.604421353340149, grad_loss: None
2022-04-22 14:33:47,317 DEBUG epoch: 2, train_acc: 0.6640625, val_acc: 1.0, fidel_score: 0.99, acc_loss: 4.606167006492615, grad_loss: None
2022-04-22 14:33:48,601 DEBUG epoch: 3, train_acc: 1.0546875, val_acc: 0.86, fidel_score: 1.01, acc_loss: 4.60588846206665, grad_loss: None
2022-04-22 14:33:49,888 DEBUG epoch: 4, train_acc: 0.9375, val_acc: 1.02, fidel_score: 1.26, acc_loss: 4.6073270559310915, grad_loss: None
2022-04-22 14:33:51,182 DEBUG epoch: 5, train_acc: 0.859375, val_acc: 0.94, fidel_score: 1.18, acc_loss: 4.606382226943969, grad_loss: None
2022-04-22 14:33:52,479 DEBUG epoch: 6, train_acc: 1.5234375, val_acc: 1.0, fidel_score: 0.93, acc_loss: 4.604150795936585, grad_loss: None
2022-04-22 14:33:53,771 DEBUG epoch: 7, train_acc: 0.9765625, val_acc: 1.0, fidel_score: 1.05, acc_loss: 4.607000398635864, grad_loss: None
2022-04-22 14:33:55,066 DEBUG epoch: 8, train_acc: 1.09375, val_acc: 0.92, fidel_score: 0.95, acc_loss: 4.604091668128968, grad_loss: None
2022-04-22 14:33:56,362 DEBUG epoch: 9, train_acc: 1.2890625, val_acc: 1.0, fidel_score: 0.9, acc_loss: 4.605083227157593, grad_loss: None
2022-04-22 14:33:57,644 DEBUG epoch: 10, train_acc: 1.015625, val_acc: 1.0, fidel_score: 1.2, acc_loss: 4.601036810874939, grad_loss: None
2022-04-22 14:33:58,928 DEBUG epoch: 11, train_acc: 1.71875, val_acc: 0.99, fidel_score: 1.18, acc_loss: 4.60552716255188, grad_loss: None
2022-04-22 14:34:00,206 DEBUG epoch: 12, train_acc: 1.25, val_acc: 1.0, fidel_score: 1.04, acc_loss: 4.605117058753967, grad_loss: None
2022-04-22 14:34:01,500 DEBUG epoch: 13, train_acc: 1.2109375, val_acc: 1.0, fidel_score: 1.2, acc_loss: 4.603339886665344, grad_loss: None
