2022-04-25 16:03:07,930 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR10', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=2.0)
2022-04-25 16:03:11,417 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-25 16:03:11,417 DEBUG  * Prec@1 68.630
2022-04-25 16:03:11,418 DEBUG load 1.weight to surrogate
2022-04-25 16:03:11,418 DEBUG load 1.bias to surrogate
2022-04-25 16:03:11,419 DEBUG 4
2022-04-25 16:03:11,419 DEBUG surrogate parameter has 4 trainable parameters!
2022-04-25 16:03:16,004 DEBUG epoch: 0, val_acc: 0.98, val_fidelity: 0.99
2022-04-25 16:03:18,726 DEBUG epoch: 1, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 3.7279351300831083
2022-04-25 16:03:21,463 DEBUG epoch: 2, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.889371455470218
2022-04-25 16:03:24,194 DEBUG epoch: 3, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.758394368087189
2022-04-25 16:03:26,940 DEBUG epoch: 4, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.7492984216424485
2022-04-25 16:03:29,693 DEBUG epoch: 5, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.6616070210179195
2022-04-25 16:03:32,443 DEBUG epoch: 6, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.544126332560672
2022-04-25 16:03:35,185 DEBUG epoch: 7, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.5554439900796626
2022-04-25 16:03:37,932 DEBUG epoch: 8, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.523134275327755
2022-04-25 16:03:40,681 DEBUG epoch: 9, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.40927628927593
2022-04-25 16:03:43,406 DEBUG epoch: 10, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.319277294074433
2022-04-25 16:03:46,157 DEBUG epoch: 11, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.30287228204027
2022-04-25 16:03:48,885 DEBUG epoch: 12, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.2527736576297617
2022-04-25 16:03:51,626 DEBUG epoch: 13, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 2.208333312710629
