2022-04-29 17:48:35,984 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR10', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=5.0)
2022-04-29 17:48:40,151 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-29 17:48:40,152 DEBUG  * Prec@1 68.630
2022-04-29 17:48:40,279 DEBUG 14
2022-04-29 17:48:40,280 DEBUG surrogate parameter has 14 trainable parameters!
2022-04-29 17:48:46,298 DEBUG epoch: 0, val_acc: 0.99, val_fidelity: 0.94
2022-04-29 17:48:48,553 DEBUG epoch: 1, train_acc: 0.0, val_acc: 1.08, fidel_score: 1.07, acc_loss: 0.0, grad_loss: 19.03067130076734
2022-04-29 17:48:51,039 DEBUG epoch: 2, train_acc: 0.0, val_acc: 1.0, fidel_score: 0.99, acc_loss: 0.0, grad_loss: 18.62682518777968
2022-04-29 17:48:54,457 DEBUG epoch: 3, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.01, acc_loss: 0.0, grad_loss: 18.98880811280842
2022-04-29 17:48:57,898 DEBUG epoch: 4, train_acc: 0.0, val_acc: 1.0, fidel_score: 0.94, acc_loss: 0.0, grad_loss: 18.97572372533098
2022-04-29 17:49:01,344 DEBUG epoch: 5, train_acc: 0.0, val_acc: 0.88, fidel_score: 0.8, acc_loss: 0.0, grad_loss: 18.861484503444238
2022-04-29 17:49:04,739 DEBUG epoch: 6, train_acc: 0.0, val_acc: 1.04, fidel_score: 0.98, acc_loss: 0.0, grad_loss: 18.98623640326005
2022-04-29 17:49:08,171 DEBUG epoch: 7, train_acc: 0.0, val_acc: 1.08, fidel_score: 1.07, acc_loss: 0.0, grad_loss: 18.93461367450183
2022-04-29 17:49:11,616 DEBUG epoch: 8, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.09, acc_loss: 0.0, grad_loss: 18.890547462656528
2022-04-29 17:49:15,054 DEBUG epoch: 9, train_acc: 0.0, val_acc: 1.01, fidel_score: 1.08, acc_loss: 0.0, grad_loss: 18.924675591384307
2022-04-29 17:49:18,476 DEBUG epoch: 10, train_acc: 0.0, val_acc: 0.98, fidel_score: 1.08, acc_loss: 0.0, grad_loss: 18.942646074898636
2022-04-29 17:49:21,910 DEBUG epoch: 11, train_acc: 0.0, val_acc: 1.05, fidel_score: 1.11, acc_loss: 0.0, grad_loss: 18.853048831601686
2022-04-29 17:49:25,340 DEBUG epoch: 12, train_acc: 0.0, val_acc: 0.99, fidel_score: 1.12, acc_loss: 0.0, grad_loss: 18.966668044464498
2022-04-29 17:49:28,805 DEBUG epoch: 13, train_acc: 0.0, val_acc: 1.19, fidel_score: 1.21, acc_loss: 0.0, grad_loss: 18.90760537642467
