2022-04-29 19:26:39,211 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_SVHN', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=8.0)
2022-04-29 19:26:42,979 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-29 19:26:42,980 DEBUG  * Prec@1 68.630
2022-04-29 19:26:43,077 DEBUG 26
2022-04-29 19:26:43,077 DEBUG surrogate parameter has 26 trainable parameters!
2022-04-29 19:26:50,815 DEBUG epoch: 0, val_acc: 1.01, val_fidelity: 1.05
2022-04-29 19:26:54,141 DEBUG epoch: 1, train_acc: 0.0, val_acc: 0.92, fidel_score: 0.96, acc_loss: 0.0, grad_loss: 5.8151289541510085
2022-04-29 19:26:57,780 DEBUG epoch: 2, train_acc: 0.0, val_acc: 0.98, fidel_score: 1.05, acc_loss: 0.0, grad_loss: 5.7798632851129845
2022-04-29 19:27:01,684 DEBUG epoch: 3, train_acc: 0.0, val_acc: 1.17, fidel_score: 1.19, acc_loss: 0.0, grad_loss: 5.776779965509342
2022-04-29 19:27:06,590 DEBUG epoch: 4, train_acc: 0.0, val_acc: 0.94, fidel_score: 1.05, acc_loss: 0.0, grad_loss: 5.765672170663182
2022-04-29 19:27:11,433 DEBUG epoch: 5, train_acc: 0.0, val_acc: 1.06, fidel_score: 1.03, acc_loss: 0.0, grad_loss: 5.77395612982255
2022-04-29 19:27:16,348 DEBUG epoch: 6, train_acc: 0.0, val_acc: 1.25, fidel_score: 1.16, acc_loss: 0.0, grad_loss: 5.7884232364123385
2022-04-29 19:27:21,230 DEBUG epoch: 7, train_acc: 0.0, val_acc: 0.9, fidel_score: 0.86, acc_loss: 0.0, grad_loss: 5.781547292878356
2022-04-29 19:27:26,106 DEBUG epoch: 8, train_acc: 0.0, val_acc: 0.94, fidel_score: 1.06, acc_loss: 0.0, grad_loss: 5.783557909953443
2022-04-29 19:27:31,029 DEBUG epoch: 9, train_acc: 0.0, val_acc: 1.07, fidel_score: 1.08, acc_loss: 0.0, grad_loss: 5.776910359346414
2022-04-29 19:27:35,974 DEBUG epoch: 10, train_acc: 0.0, val_acc: 1.02, fidel_score: 1.14, acc_loss: 0.0, grad_loss: 5.7787270847755146
2022-04-29 19:27:40,919 DEBUG epoch: 11, train_acc: 0.0, val_acc: 0.77, fidel_score: 0.75, acc_loss: 0.0, grad_loss: 5.787223972851717
2022-04-29 19:27:44,347 DEBUG epoch: 12, train_acc: 0.0, val_acc: 1.06, fidel_score: 1.02, acc_loss: 0.0, grad_loss: 5.766187245332742
2022-04-29 19:27:47,646 DEBUG epoch: 13, train_acc: 0.0, val_acc: 1.01, fidel_score: 0.99, acc_loss: 0.0, grad_loss: 5.7761184957963
2022-04-29 19:27:50,681 DEBUG epoch: 14, train_acc: 0.0, val_acc: 0.79, fidel_score: 0.82, acc_loss: 0.0, grad_loss: 5.78095197074021
2022-04-29 19:27:53,707 DEBUG epoch: 15, train_acc: 0.0, val_acc: 0.94, fidel_score: 0.9, acc_loss: 0.0, grad_loss: 5.771986001654517
2022-04-29 19:27:56,634 DEBUG epoch: 16, train_acc: 0.0, val_acc: 1.22, fidel_score: 1.19, acc_loss: 0.0, grad_loss: 5.769833009454269
2022-04-29 19:27:59,597 DEBUG epoch: 17, train_acc: 0.0, val_acc: 0.88, fidel_score: 0.88, acc_loss: 0.0, grad_loss: 5.776566946053807
2022-04-29 19:28:02,644 DEBUG epoch: 18, train_acc: 0.0, val_acc: 0.96, fidel_score: 1.11, acc_loss: 0.0, grad_loss: 5.778583568862722
