2022-04-27 03:11:26,372 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='Craft_option_step50', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=0.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=6.0)
2022-04-27 03:11:31,431 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-27 03:11:31,432 DEBUG  * Prec@1 91.890
2022-04-27 03:11:31,517 DEBUG 18
2022-04-27 03:11:31,517 DEBUG surrogate parameter has 18 trainable parameters!
2022-04-27 03:11:31,744 DEBUG Image 0 class 0 - Iter 50 Feature loss: 0.0003499372396618128 TVLoss: 1.3019793033599854 l2Loss: 0.6835546493530273
2022-04-27 03:11:31,923 DEBUG Image 1 class 0 - Iter 50 Feature loss: 0.00023314618738368154 TVLoss: 1.3189048767089844 l2Loss: 0.6932895183563232
2022-04-27 03:11:32,122 DEBUG Image 0 class 1 - Iter 50 Feature loss: 3.683499380713329e-05 TVLoss: 1.5586283206939697 l2Loss: 0.7649111151695251
2022-04-27 03:11:32,314 DEBUG Image 1 class 1 - Iter 50 Feature loss: 5.8412379075889476e-06 TVLoss: 1.383655309677124 l2Loss: 0.7545296549797058
2022-04-27 03:11:32,522 DEBUG Image 0 class 2 - Iter 50 Feature loss: 3.0397906812140718e-05 TVLoss: 1.3587005138397217 l2Loss: 0.6623281240463257
2022-04-27 03:11:32,699 DEBUG Image 1 class 2 - Iter 50 Feature loss: 0.00028081765049137175 TVLoss: 1.3551719188690186 l2Loss: 0.6622734069824219
2022-04-27 03:11:32,933 DEBUG Image 0 class 3 - Iter 50 Feature loss: 0.0004557524516712874 TVLoss: 1.302107334136963 l2Loss: 0.6471225619316101
2022-04-27 03:11:33,172 DEBUG Image 1 class 3 - Iter 50 Feature loss: 0.0010453957365825772 TVLoss: 1.3744022846221924 l2Loss: 0.6579090356826782
2022-04-27 03:11:33,408 DEBUG Image 0 class 4 - Iter 50 Feature loss: 0.0007583603146485984 TVLoss: 1.3191454410552979 l2Loss: 0.6664067506790161
2022-04-27 03:11:33,644 DEBUG Image 1 class 4 - Iter 50 Feature loss: 0.0003334919747430831 TVLoss: 1.3609766960144043 l2Loss: 0.6716396808624268
2022-04-27 03:11:33,885 DEBUG Image 0 class 5 - Iter 50 Feature loss: 0.0005202132160775363 TVLoss: 1.2226123809814453 l2Loss: 0.6354712247848511
2022-04-27 03:11:34,083 DEBUG Image 1 class 5 - Iter 50 Feature loss: 0.0004351384413894266 TVLoss: 1.2258398532867432 l2Loss: 0.6372667551040649
2022-04-27 03:11:34,282 DEBUG Image 0 class 6 - Iter 50 Feature loss: 0.0003880701260641217 TVLoss: 1.2782924175262451 l2Loss: 0.6773280501365662
2022-04-27 03:11:34,496 DEBUG Image 1 class 6 - Iter 50 Feature loss: 1.1086402082582936e-05 TVLoss: 0.5390936136245728 l2Loss: 0.41886967420578003
2022-04-27 03:11:34,713 DEBUG Image 0 class 7 - Iter 50 Feature loss: 0.0007250064518302679 TVLoss: 1.2580444812774658 l2Loss: 0.6934094429016113
2022-04-27 03:11:34,932 DEBUG Image 1 class 7 - Iter 50 Feature loss: 0.000892121868673712 TVLoss: 1.3885401487350464 l2Loss: 0.7094434499740601
2022-04-27 03:11:35,148 DEBUG Image 0 class 8 - Iter 50 Feature loss: 0.002096242504194379 TVLoss: 1.4425115585327148 l2Loss: 0.7276756167411804
2022-04-27 03:11:35,359 DEBUG Image 1 class 8 - Iter 50 Feature loss: 0.0026012177113443613 TVLoss: 1.5014102458953857 l2Loss: 0.7339963912963867
2022-04-27 03:11:35,577 DEBUG Image 0 class 9 - Iter 50 Feature loss: 0.00014149141497910023 TVLoss: 1.3619649410247803 l2Loss: 0.7082971334457397
2022-04-27 03:11:35,774 DEBUG Image 1 class 9 - Iter 50 Feature loss: 0.0001934579631779343 TVLoss: 1.3960230350494385 l2Loss: 0.7225338816642761
2022-04-27 03:11:37,491 DEBUG epoch: 0, val_acc: 9.78, val_fidelity: 9.85
2022-04-27 03:11:39,728 DEBUG epoch: 1, train_acc: 5.0, val_acc: 11.19, fidel_score: 11.34, acc_loss: 3.3447585105895996, grad_loss: None
2022-04-27 03:11:41,774 DEBUG epoch: 2, train_acc: 10.0, val_acc: 11.28, fidel_score: 10.94, acc_loss: 4.218948841094971, grad_loss: None
2022-04-27 03:11:43,738 DEBUG epoch: 3, train_acc: 10.0, val_acc: 10.72, fidel_score: 10.93, acc_loss: 4.429538726806641, grad_loss: None
2022-04-27 03:11:45,540 DEBUG epoch: 4, train_acc: 15.0, val_acc: 13.16, fidel_score: 13.37, acc_loss: 5.300286769866943, grad_loss: None
2022-04-27 03:11:47,232 DEBUG epoch: 5, train_acc: 30.0, val_acc: 12.68, fidel_score: 12.64, acc_loss: 5.217429161071777, grad_loss: None
2022-04-27 03:11:48,834 DEBUG epoch: 6, train_acc: 15.0, val_acc: 14.51, fidel_score: 14.43, acc_loss: 5.142451286315918, grad_loss: None
2022-04-27 03:11:50,865 DEBUG epoch: 7, train_acc: 15.0, val_acc: 12.95, fidel_score: 13.4, acc_loss: 6.200833797454834, grad_loss: None
2022-04-27 03:11:52,538 DEBUG epoch: 8, train_acc: 20.0, val_acc: 12.17, fidel_score: 12.14, acc_loss: 3.7154994010925293, grad_loss: None
2022-04-27 03:11:54,540 DEBUG epoch: 9, train_acc: 20.0, val_acc: 13.07, fidel_score: 13.0, acc_loss: 4.333953380584717, grad_loss: None
2022-04-27 03:11:56,314 DEBUG epoch: 10, train_acc: 15.0, val_acc: 12.32, fidel_score: 12.01, acc_loss: 3.808495283126831, grad_loss: None
2022-04-27 03:11:58,209 DEBUG epoch: 11, train_acc: 25.0, val_acc: 10.94, fidel_score: 11.01, acc_loss: 4.168074607849121, grad_loss: None
2022-04-27 03:12:00,230 DEBUG epoch: 12, train_acc: 15.0, val_acc: 11.67, fidel_score: 11.65, acc_loss: 4.752195358276367, grad_loss: None
2022-04-27 03:12:02,160 DEBUG epoch: 13, train_acc: 15.0, val_acc: 12.7, fidel_score: 12.72, acc_loss: 4.408844470977783, grad_loss: None
2022-04-27 03:12:03,943 DEBUG epoch: 14, train_acc: 25.0, val_acc: 13.19, fidel_score: 13.01, acc_loss: 2.6693882942199707, grad_loss: None
2022-04-27 03:12:05,553 DEBUG epoch: 15, train_acc: 20.0, val_acc: 14.09, fidel_score: 13.95, acc_loss: 2.198669910430908, grad_loss: None
2022-04-27 03:12:07,088 DEBUG epoch: 16, train_acc: 20.0, val_acc: 14.4, fidel_score: 14.2, acc_loss: 1.950862169265747, grad_loss: None
2022-04-27 03:12:08,903 DEBUG epoch: 17, train_acc: 20.0, val_acc: 15.15, fidel_score: 15.18, acc_loss: 2.304211139678955, grad_loss: None
2022-04-27 03:12:10,484 DEBUG epoch: 18, train_acc: 30.0, val_acc: 14.44, fidel_score: 14.34, acc_loss: 2.567070484161377, grad_loss: None
2022-04-27 03:12:12,488 DEBUG epoch: 19, train_acc: 25.0, val_acc: 15.49, fidel_score: 15.49, acc_loss: 2.1118931770324707, grad_loss: None
2022-04-27 03:12:14,280 DEBUG epoch: 20, train_acc: 15.0, val_acc: 17.63, fidel_score: 17.38, acc_loss: 2.6548233032226562, grad_loss: None
2022-04-27 03:12:16,187 DEBUG epoch: 21, train_acc: 20.0, val_acc: 18.42, fidel_score: 18.4, acc_loss: 2.974020481109619, grad_loss: None
2022-04-27 03:12:18,216 DEBUG epoch: 22, train_acc: 35.0, val_acc: 19.2, fidel_score: 19.21, acc_loss: 2.6826393604278564, grad_loss: None
2022-04-27 03:12:20,171 DEBUG epoch: 23, train_acc: 30.0, val_acc: 16.28, fidel_score: 16.3, acc_loss: 3.345409393310547, grad_loss: None
2022-04-27 03:12:21,917 DEBUG epoch: 24, train_acc: 15.0, val_acc: 17.3, fidel_score: 17.27, acc_loss: 2.8855104446411133, grad_loss: None
2022-04-27 03:12:23,494 DEBUG epoch: 25, train_acc: 25.0, val_acc: 18.94, fidel_score: 18.94, acc_loss: 2.174553394317627, grad_loss: None
2022-04-27 03:12:25,108 DEBUG epoch: 26, train_acc: 35.0, val_acc: 19.66, fidel_score: 19.9, acc_loss: 2.8405566215515137, grad_loss: None
2022-04-27 03:12:26,951 DEBUG epoch: 27, train_acc: 30.0, val_acc: 21.03, fidel_score: 20.93, acc_loss: 1.9812555313110352, grad_loss: None
2022-04-27 03:12:28,530 DEBUG epoch: 28, train_acc: 30.0, val_acc: 19.98, fidel_score: 20.06, acc_loss: 2.400285243988037, grad_loss: None
2022-04-27 03:12:30,524 DEBUG epoch: 29, train_acc: 35.0, val_acc: 19.81, fidel_score: 19.59, acc_loss: 2.249657392501831, grad_loss: None
