2022-04-27 11:34:44,648 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=10000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=6.0)
2022-04-27 11:34:50,011 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-27 11:34:50,012 DEBUG  * Prec@1 91.890
2022-04-27 11:34:50,080 DEBUG 18
2022-04-27 11:34:50,081 DEBUG surrogate parameter has 18 trainable parameters!
2022-04-27 11:34:57,945 DEBUG epoch: 0, val_acc: 10.14, val_fidelity: 10.31
2022-04-27 11:35:02,996 DEBUG epoch: 1, train_acc: 0.0, val_acc: 9.8, fidel_score: 9.87, acc_loss: 0.0, grad_loss: 12.344287980960894
2022-04-27 11:35:07,813 DEBUG epoch: 2, train_acc: 0.0, val_acc: 10.22, fidel_score: 10.15, acc_loss: 0.0, grad_loss: 12.233571245700498
2022-04-27 11:35:12,840 DEBUG epoch: 3, train_acc: 0.0, val_acc: 10.13, fidel_score: 10.2, acc_loss: 0.0, grad_loss: 12.185927391052246
2022-04-27 11:35:17,462 DEBUG epoch: 4, train_acc: 0.0, val_acc: 10.17, fidel_score: 10.14, acc_loss: 0.0, grad_loss: 12.223588943481445
2022-04-27 11:35:22,435 DEBUG epoch: 5, train_acc: 0.0, val_acc: 10.07, fidel_score: 10.07, acc_loss: 0.0, grad_loss: 12.220856847642343
2022-04-27 11:35:27,155 DEBUG epoch: 6, train_acc: 0.0, val_acc: 10.06, fidel_score: 10.08, acc_loss: 0.0, grad_loss: 12.236644648298432
2022-04-27 11:35:32,361 DEBUG epoch: 7, train_acc: 0.0, val_acc: 9.85, fidel_score: 9.81, acc_loss: 0.0, grad_loss: 12.225345080411888
2022-04-27 11:35:37,209 DEBUG epoch: 8, train_acc: 0.0, val_acc: 10.02, fidel_score: 10.0, acc_loss: 0.0, grad_loss: 12.218601878685288
2022-04-27 11:35:42,291 DEBUG epoch: 9, train_acc: 0.0, val_acc: 10.23, fidel_score: 10.12, acc_loss: 0.0, grad_loss: 12.249991090991829
2022-04-27 11:35:47,217 DEBUG epoch: 10, train_acc: 0.0, val_acc: 9.84, fidel_score: 9.47, acc_loss: 0.0, grad_loss: 12.222391768346858
2022-04-27 11:35:52,065 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.17, fidel_score: 10.01, acc_loss: 0.0, grad_loss: 12.220825967909414
