2022-05-03 13:55:49,848 DEBUG Namespace(arch='vgg11_bn', cutlayer=4, batch_size=128, filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_5_seed125_dataset_cifar10_lr_0.05_soft_train_ME_start120_0.0_200epoch', folder='saves/train_attack_old', num_client=5, num_epochs=200, learning_rate=0.02, test_best=False, dataset='cifar10', random_seed=123, scheme='V2_epoch', bottleneck_option='None', adversairal_attack=False, regularization='soft_train_ME_start120', regularization_strength=0.0, average_time=1, attack_client=0, attack_epochs=200, num_query=10, surrogate_arch='same', attack_style='SoftTrain_option_resume', data_proportion=0.0, noniid_ratio=1.0, train_clas_layer=2.0)
2022-05-03 13:55:57,185 DEBUG Test (client-0):	Loss 0.2108 (0.3674)	Prec@1 93.750 (91.060)
2022-05-03 13:55:57,185 DEBUG  * Prec@1 91.060
2022-05-03 13:55:57,379 DEBUG 4
2022-05-03 13:55:57,379 DEBUG surrogate parameter has 4 trainable parameters!
2022-05-03 13:56:00,627 DEBUG epoch: 0, val_acc: 9.91, val_fidelity: 9.49
2022-05-03 13:56:04,021 DEBUG epoch: 1, train_acc: 100.0, val_acc: 90.9, fidel_score: 98.08, acc_loss: 0.7224995374679566, grad_loss: None
2022-05-03 13:56:07,364 DEBUG epoch: 2, train_acc: 99.84375, val_acc: 90.97, fidel_score: 99.12, acc_loss: 0.048165105283260345, grad_loss: None
2022-05-03 13:56:10,340 DEBUG epoch: 3, train_acc: 99.84375, val_acc: 90.96, fidel_score: 99.09, acc_loss: 0.015637553296983242, grad_loss: None
2022-05-03 22:54:50,117 DEBUG Namespace(arch='vgg11_bn', cutlayer=4, batch_size=128, filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_5_seed125_dataset_cifar10_lr_0.05_soft_train_ME_start120_0.0_200epoch', folder='saves/train_attack_old', num_client=5, num_epochs=200, learning_rate=0.02, test_best=False, dataset='cifar10', random_seed=123, scheme='V2_epoch', bottleneck_option='None', adversairal_attack=False, regularization='soft_train_ME_start120', regularization_strength=0.0, average_time=1, attack_client=0, attack_epochs=200, num_query=10, surrogate_arch='same', attack_style='SoftTrain_option_resume', data_proportion=0.0, noniid_ratio=1.0, train_clas_layer=2.0)
2022-05-03 22:54:57,410 DEBUG Test (client-0):	Loss 0.2108 (0.3674)	Prec@1 93.750 (91.060)
2022-05-03 22:54:57,411 DEBUG  * Prec@1 91.060
2022-05-03 22:54:57,565 DEBUG 4
2022-05-03 22:54:57,565 DEBUG surrogate parameter has 4 trainable parameters!
2022-05-03 22:54:59,516 DEBUG epoch: 0, val_acc: 9.91, val_fidelity: 9.49
2022-05-03 22:55:02,340 DEBUG epoch: 1, train_acc: 100.0, val_acc: 90.9, fidel_score: 98.08, acc_loss: 0.7224995374679566, grad_loss: None
2022-05-03 22:55:05,588 DEBUG epoch: 2, train_acc: 99.84375, val_acc: 90.97, fidel_score: 99.12, acc_loss: 0.048165105283260345, grad_loss: None
2022-05-03 22:55:08,560 DEBUG epoch: 3, train_acc: 99.84375, val_acc: 90.96, fidel_score: 99.09, acc_loss: 0.015637553296983242, grad_loss: None
2022-05-03 22:55:11,432 DEBUG epoch: 4, train_acc: 99.84375, val_acc: 91.02, fidel_score: 99.02, acc_loss: 0.010833804868161679, grad_loss: None
