2022-05-09 13:30:13,782 DEBUG Namespace(adversairal_attack=False, arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR10', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=100000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=4.0)
2022-05-09 13:30:16,967 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-05-09 13:30:16,967 DEBUG  * Prec@1 68.630
2022-05-09 13:30:17,035 DEBUG 10
2022-05-09 13:30:17,035 DEBUG surrogate parameter has 10 trainable parameters!
2022-05-09 13:30:33,901 DEBUG epoch: 0, val_acc: 1.05, val_fidelity: 0.99
2022-05-09 13:30:44,521 DEBUG epoch: 1, train_acc: 0.0, val_acc: 48.94, fidel_score: 59.75, acc_loss: 0.0, grad_loss: 16.05403398552819
2022-05-09 13:30:55,093 DEBUG epoch: 2, train_acc: 0.0, val_acc: 54.01, fidel_score: 66.62, acc_loss: 0.0, grad_loss: 13.895183490060479
2022-05-09 13:31:05,732 DEBUG epoch: 3, train_acc: 0.0, val_acc: 56.2, fidel_score: 68.92, acc_loss: 0.0, grad_loss: 13.420885345819967
2022-05-09 13:31:16,344 DEBUG epoch: 4, train_acc: 0.0, val_acc: 57.62, fidel_score: 71.5, acc_loss: 0.0, grad_loss: 13.762217998504639
2022-05-09 13:31:27,057 DEBUG epoch: 5, train_acc: 0.0, val_acc: 57.87, fidel_score: 71.02, acc_loss: 0.0, grad_loss: 13.773334948303145
2022-05-09 13:31:37,745 DEBUG epoch: 6, train_acc: 0.0, val_acc: 54.79, fidel_score: 66.73, acc_loss: 0.0, grad_loss: 14.242758313103405
2022-05-09 13:31:48,457 DEBUG epoch: 7, train_acc: 0.0, val_acc: 52.52, fidel_score: 63.78, acc_loss: 0.0, grad_loss: 14.646780578681575
2022-05-09 13:31:59,168 DEBUG epoch: 8, train_acc: 0.0, val_acc: 49.68, fidel_score: 59.28, acc_loss: 0.0, grad_loss: 15.046506381705594
2022-05-09 13:32:09,839 DEBUG epoch: 9, train_acc: 0.0, val_acc: 43.85, fidel_score: 52.01, acc_loss: 0.0, grad_loss: 15.389838584548677
2022-05-09 13:32:20,527 DEBUG epoch: 10, train_acc: 0.0, val_acc: 40.18, fidel_score: 48.51, acc_loss: 0.0, grad_loss: 15.744401007357157
2022-05-09 13:32:31,254 DEBUG epoch: 11, train_acc: 0.0, val_acc: 41.01, fidel_score: 49.29, acc_loss: 0.0, grad_loss: 15.951106470259255
2022-05-09 13:32:41,947 DEBUG epoch: 12, train_acc: 0.0, val_acc: 36.16, fidel_score: 43.41, acc_loss: 0.0, grad_loss: 16.351671596927105
2022-05-09 13:32:52,627 DEBUG epoch: 13, train_acc: 0.0, val_acc: 29.8, fidel_score: 36.05, acc_loss: 0.0, grad_loss: 16.47661005566492
2022-05-09 13:33:03,336 DEBUG epoch: 14, train_acc: 0.0, val_acc: 27.69, fidel_score: 33.1, acc_loss: 0.0, grad_loss: 16.593581133791247
2022-05-09 13:33:14,015 DEBUG epoch: 15, train_acc: 0.0, val_acc: 20.38, fidel_score: 24.9, acc_loss: 0.0, grad_loss: 16.837555249938575
2022-05-09 13:33:24,758 DEBUG epoch: 16, train_acc: 0.0, val_acc: 16.17, fidel_score: 19.47, acc_loss: 0.0, grad_loss: 16.904219105420516
2022-05-09 13:33:35,433 DEBUG epoch: 17, train_acc: 0.0, val_acc: 13.94, fidel_score: 16.59, acc_loss: 0.0, grad_loss: 16.867884729829285
2022-05-09 13:33:46,123 DEBUG epoch: 18, train_acc: 0.0, val_acc: 17.3, fidel_score: 20.8, acc_loss: 0.0, grad_loss: 16.893294373436657
