2022-05-09 07:30:56,259 DEBUG Namespace(adversairal_attack=False, arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_SVHN', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=100000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=4.0)
2022-05-09 07:31:00,688 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-05-09 07:31:00,690 DEBUG  * Prec@1 68.630
2022-05-09 07:31:00,759 DEBUG 10
2022-05-09 07:31:00,759 DEBUG surrogate parameter has 10 trainable parameters!
2022-05-09 07:31:34,066 DEBUG epoch: 0, val_acc: 1.05, val_fidelity: 0.99
2022-05-09 07:31:59,426 DEBUG epoch: 1, train_acc: 0.0, val_acc: 45.27, fidel_score: 55.01, acc_loss: 0.0, grad_loss: 15.615673745684612
2022-05-09 07:32:24,113 DEBUG epoch: 2, train_acc: 0.0, val_acc: 46.36, fidel_score: 55.57, acc_loss: 0.0, grad_loss: 14.052313457059737
2022-05-09 07:32:46,798 DEBUG epoch: 3, train_acc: 0.0, val_acc: 44.75, fidel_score: 53.62, acc_loss: 0.0, grad_loss: 13.699357831569584
2022-05-09 07:33:11,922 DEBUG epoch: 4, train_acc: 0.0, val_acc: 42.52, fidel_score: 50.74, acc_loss: 0.0, grad_loss: 14.027061486792991
2022-05-09 07:33:37,087 DEBUG epoch: 5, train_acc: 0.0, val_acc: 29.89, fidel_score: 35.14, acc_loss: 0.0, grad_loss: 14.543865338005983
2022-05-09 07:34:02,284 DEBUG epoch: 6, train_acc: 0.0, val_acc: 30.84, fidel_score: 36.7, acc_loss: 0.0, grad_loss: 15.25273317937046
2022-05-09 07:34:27,666 DEBUG epoch: 7, train_acc: 0.0, val_acc: 28.79, fidel_score: 34.49, acc_loss: 0.0, grad_loss: 15.51219946405162
2022-05-09 07:34:52,969 DEBUG epoch: 8, train_acc: 0.0, val_acc: 22.71, fidel_score: 26.47, acc_loss: 0.0, grad_loss: 16.064096148361635
2022-05-09 07:35:18,548 DEBUG epoch: 9, train_acc: 0.0, val_acc: 10.71, fidel_score: 12.86, acc_loss: 0.0, grad_loss: 16.235155447059885
2022-05-09 07:35:43,866 DEBUG epoch: 10, train_acc: 0.0, val_acc: 10.42, fidel_score: 12.19, acc_loss: 0.0, grad_loss: 16.524319154832064
2022-05-09 07:36:08,899 DEBUG epoch: 11, train_acc: 0.0, val_acc: 10.56, fidel_score: 12.24, acc_loss: 0.0, grad_loss: 16.590146513546216
2022-05-09 07:36:34,193 DEBUG epoch: 12, train_acc: 0.0, val_acc: 9.63, fidel_score: 10.84, acc_loss: 0.0, grad_loss: 16.87205783790335
